Month,cdd_true,cdd_pred,label_true,label_pred,label_true_txt,label_pred_txt
2012-10-01,15.529999732971191,14.622769,1,1,Slight drought,Slight drought
2012-11-01,15.850000381469727,19.57828,1,2,Slight drought,Drought
2012-12-01,18.260000228881836,22.934143,2,2,Drought,Drought
2013-01-01,18.940000534057617,19.080614,2,2,Drought,Drought
2013-02-01,17.709999084472656,20.706633,2,2,Drought,Drought
2013-03-01,19.469999313354492,16.837858,2,2,Drought,Drought
2013-04-01,14.8100004196167,14.5563755,1,1,Slight drought,Slight drought
2013-05-01,11.420000076293945,12.247204,1,1,Slight drought,Slight drought
2013-06-01,10.119999885559082,9.7724285,0,0,Non-drought,Non-drought
2013-07-01,7.75,8.252169,0,0,Non-drought,Non-drought
2013-08-01,10.079999923706055,8.179267,0,0,Non-drought,Non-drought
2013-09-01,10.279999732971191,10.15387,0,0,Non-drought,Non-drought
2013-10-01,16.200000762939453,14.849166,2,1,Drought,Slight drought
2013-11-01,18.739999771118164,18.729034,2,2,Drought,Drought
2013-12-01,24.059999465942383,22.702703,2,2,Drought,Drought
2014-01-01,21.31999969482422,19.389511,2,2,Drought,Drought
2014-02-01,20.84000015258789,20.95359,2,2,Drought,Drought
2014-03-01,18.489999771118164,17.50393,2,2,Drought,Drought
2014-04-01,15.510000228881836,14.4021,1,1,Slight drought,Slight drought
2014-05-01,12.470000267028809,12.407886,1,1,Slight drought,Slight drought
2014-06-01,10.59000015258789,10.135706,0,0,Non-drought,Non-drought
2014-07-01,8.010000228881836,8.861623,0,0,Non-drought,Non-drought
2014-08-01,8.470000267028809,8.911005,0,0,Non-drought,Non-drought
2014-09-01,9.670000076293945,10.448513,0,0,Non-drought,Non-drought
2014-10-01,16.09000015258789,13.460509,2,1,Drought,Slight drought
2014-11-01,18.1200008392334,17.946766,2,2,Drought,Drought
2014-12-01,23.020000457763672,22.54329,2,2,Drought,Drought
2015-01-01,18.799999237060547,18.693016,2,2,Drought,Drought
2015-02-01,20.520000457763672,20.650356,2,2,Drought,Drought
2015-03-01,18.299999237060547,17.233267,2,2,Drought,Drought
2015-04-01,13.34000015258789,14.065299,1,1,Slight drought,Slight drought
2015-05-01,12.029999732971191,11.729832,1,1,Slight drought,Slight drought
2015-06-01,9.039999961853027,9.9339075,0,0,Non-drought,Non-drought
2015-07-01,10.569999694824219,8.735458,0,0,Non-drought,Non-drought
2015-08-01,10.020000457763672,9.527367,0,0,Non-drought,Non-drought
2015-09-01,10.149999618530273,10.570341,0,0,Non-drought,Non-drought
2015-10-01,16.059999465942383,14.201114,2,1,Drought,Slight drought
2015-11-01,15.239999771118164,17.750185,1,2,Slight drought,Drought
2015-12-01,19.399999618530273,21.355225,2,2,Drought,Drought
2016-01-01,17.59000015258789,19.441748,2,2,Drought,Drought
2016-02-01,19.829999923706055,20.380257,2,2,Drought,Drought
2016-03-01,19.950000762939453,17.865849,2,2,Drought,Drought
2016-04-01,13.979999542236328,14.403983,1,1,Slight drought,Slight drought
2016-05-01,10.619999885559082,11.893248,0,1,Non-drought,Slight drought
2016-06-01,9.390000343322754,9.986416,0,0,Non-drought,Non-drought
2016-07-01,8.779999732971191,8.24947,0,0,Non-drought,Non-drought
2016-08-01,9.020000457763672,8.580258,0,0,Non-drought,Non-drought
2016-09-01,11.1899995803833,10.353711,1,0,Slight drought,Non-drought
2016-10-01,13.699999809265137,13.681212,1,1,Slight drought,Slight drought
2016-11-01,17.399999618530273,19.110443,2,2,Drought,Drought
2016-12-01,21.860000610351562,22.186676,2,2,Drought,Drought
2017-01-01,20.739999771118164,20.543785,2,2,Drought,Drought
2017-02-01,19.559999465942383,18.954655,2,2,Drought,Drought
2017-03-01,18.0,17.583376,2,2,Drought,Drought
2017-04-01,14.039999961853027,14.34272,1,1,Slight drought,Slight drought
2017-05-01,12.430000305175781,12.627443,1,1,Slight drought,Slight drought
2017-06-01,9.350000381469727,10.352019,0,0,Non-drought,Non-drought
2017-07-01,9.069999694824219,8.80938,0,0,Non-drought,Non-drought
2017-08-01,7.800000190734863,8.191102,0,0,Non-drought,Non-drought
2017-09-01,10.420000076293945,10.475065,0,0,Non-drought,Non-drought
2017-10-01,14.930000305175781,13.445434,1,1,Slight drought,Slight drought
2017-11-01,21.950000762939453,18.728064,2,2,Drought,Drought
2017-12-01,24.770000457763672,22.769459,2,2,Drought,Drought
2018-01-01,19.760000228881836,19.526329,2,2,Drought,Drought
2018-02-01,21.229999542236328,19.900412,2,2,Drought,Drought
2018-03-01,17.40999984741211,18.584623,2,2,Drought,Drought
2018-04-01,13.609999656677246,14.364225,1,1,Slight drought,Slight drought
2018-05-01,11.739999771118164,13.069109,1,1,Slight drought,Slight drought
2018-06-01,10.819999694824219,9.935103,0,0,Non-drought,Non-drought
2018-07-01,8.079999923706055,8.70515,0,0,Non-drought,Non-drought
2018-08-01,7.429999828338623,8.963177,0,0,Non-drought,Non-drought
2018-09-01,9.270000457763672,10.323637,0,0,Non-drought,Non-drought
2018-10-01,16.639999389648438,14.482476,2,1,Drought,Slight drought
2018-11-01,18.290000915527344,19.16136,2,2,Drought,Drought
2018-12-01,21.68000030517578,23.943226,2,2,Drought,Drought
2019-01-01,19.8700008392334,18.596922,2,2,Drought,Drought
2019-02-01,17.600000381469727,20.4158,2,2,Drought,Drought
2019-03-01,17.889999389648438,16.688944,2,2,Drought,Drought
2019-04-01,15.800000190734863,13.863611,1,1,Slight drought,Slight drought
2019-05-01,12.539999961853027,11.947641,1,1,Slight drought,Slight drought
2019-06-01,10.710000038146973,10.084711,0,0,Non-drought,Non-drought
2019-07-01,8.100000381469727,8.463642,0,0,Non-drought,Non-drought
2019-08-01,9.40999984741211,8.454332,0,0,Non-drought,Non-drought
2019-09-01,13.350000381469727,11.045524,1,1,Slight drought,Slight drought
2019-10-01,16.139999389648438,14.204795,2,1,Drought,Slight drought
2019-11-01,18.610000610351562,18.87165,2,2,Drought,Drought
2019-12-01,21.059999465942383,22.11561,2,2,Drought,Drought
2020-01-01,17.15999984741211,19.94382,2,2,Drought,Drought
2020-02-01,20.06999969482422,20.25368,2,2,Drought,Drought
2020-03-01,16.639999389648438,17.738205,2,2,Drought,Drought
2020-04-01,15.829999923706055,13.994363,1,1,Slight drought,Slight drought
2020-05-01,12.930000305175781,12.617147,1,1,Slight drought,Slight drought
2020-06-01,9.819999694824219,9.753961,0,0,Non-drought,Non-drought
2020-07-01,8.59000015258789,8.973239,0,0,Non-drought,Non-drought
2020-08-01,8.130000114440918,8.57778,0,0,Non-drought,Non-drought
2020-09-01,10.670000076293945,10.125008,0,0,Non-drought,Non-drought
2020-10-01,17.540000915527344,13.222765,2,1,Drought,Slight drought
2020-11-01,21.6200008392334,18.063671,2,2,Drought,Drought
2020-12-01,24.350000381469727,23.126005,2,2,Drought,Drought
2021-01-01,19.989999771118164,18.99332,2,2,Drought,Drought
2021-02-01,19.719999313354492,21.122028,2,2,Drought,Drought
2021-03-01,15.949999809265137,17.326265,1,2,Slight drought,Drought
2021-04-01,12.279999732971191,14.418662,1,1,Slight drought,Slight drought
2021-05-01,11.779999732971191,11.816346,1,1,Slight drought,Slight drought
2021-06-01,9.609999656677246,10.37934,0,0,Non-drought,Non-drought
2021-07-01,9.489999771118164,9.228556,0,0,Non-drought,Non-drought
2021-08-01,9.100000381469727,8.909123,0,0,Non-drought,Non-drought
2021-09-01,10.359999656677246,9.950037,0,0,Non-drought,Non-drought
2021-10-01,14.489999771118164,14.127134,1,1,Slight drought,Slight drought
2021-11-01,19.209999084472656,18.146904,2,2,Drought,Drought
2021-12-01,22.729999542236328,22.862045,2,2,Drought,Drought
2022-01-01,19.1299991607666,19.777115,2,2,Drought,Drought
2022-02-01,17.959999084472656,19.896786,2,2,Drought,Drought
2022-03-01,20.18000030517578,17.827768,2,2,Drought,Drought
2022-04-01,16.459999084472656,14.068388,2,1,Drought,Slight drought
2022-05-01,12.020000457763672,12.589359,1,1,Slight drought,Slight drought
2022-06-01,10.260000228881836,9.795881,0,0,Non-drought,Non-drought
2022-07-01,9.970000267028809,8.234814,0,0,Non-drought,Non-drought
2022-08-01,9.619999885559082,9.096758,0,0,Non-drought,Non-drought
2022-09-01,13.239999771118164,11.682133,1,1,Slight drought,Slight drought
2022-10-01,17.350000381469727,14.432057,2,1,Drought,Slight drought
2022-11-01,18.600000381469727,19.655062,2,2,Drought,Drought
2022-12-01,24.3799991607666,20.96588,2,2,Drought,Drought
2023-01-01,19.700000762939453,20.146368,2,2,Drought,Drought
2023-02-01,21.020000457763672,20.499233,2,2,Drought,Drought
2023-03-01,21.010000228881836,17.200096,2,2,Drought,Drought
2023-04-01,14.979999542236328,14.286599,1,1,Slight drought,Slight drought
