Month,rx1day,rx5day,pr,tasmin,tas,tasmax,r20mm,cdd
1950-01,4.73,9.29,16.36,-12.1,-6.42,-0.69,0.04,19.85
1950-02,6.81,13.21,23.37,-11.77,-5.96,-0.46,0.1,19.34
1950-03,9.62,19.7,43.86,-3.97,1.7,7.01,0.25,19.89
1950-04,15.43,31.72,65.52,1.36,7.07,12.39,0.64,13.87
1950-05,23.23,45.66,115.25,8.12,13.6,18.75,1.42,11.98
1950-06,27.76,60.77,148.72,12.04,16.83,21.45,1.7,9.42
1950-07,29.33,64.39,150.72,15.27,19.83,24.37,1.58,8.69
1950-08,25.34,54.0,143.27,13.73,18.3,22.87,1.4,8.66
1950-09,21.27,43.8,106.5,9.19,13.78,18.49,1.0,9.52
1950-10,11.78,26.33,55.19,3.5,8.21,13.21,0.33,13.54
1950-11,7.75,14.67,25.99,-5.4,-0.59,4.45,0.1,18.75
1950-12,4.67,8.36,15.63,-12.39,-7.27,-1.96,0.03,21.71
1951-01,4.78,11.67,19.13,-14.61,-9.22,-3.76,0.03,18.66
1951-02,7.14,14.35,31.89,-11.63,-5.76,-0.32,0.1,18.67
1951-03,9.21,21.65,52.37,-6.59,-0.77,4.52,0.45,17.03
1951-04,14.31,33.13,90.16,-0.01,5.64,10.77,1.03,12.08
1951-05,20.49,40.47,93.32,7.83,13.61,18.97,1.05,12.12
1951-06,27.47,61.51,139.68,12.49,17.25,21.99,1.56,9.84
1951-07,27.04,65.57,161.79,14.74,18.96,23.33,1.6,7.83
1951-08,27.41,54.89,134.53,14.76,19.24,23.86,1.31,8.76
1951-09,24.65,52.94,105.9,8.9,13.59,18.33,1.01,9.52
1951-10,16.96,37.6,70.47,3.93,8.71,13.66,0.57,11.67
1951-11,11.44,22.53,45.81,-4.89,-0.02,4.96,0.38,16.28
1951-12,6.66,15.05,22.75,-9.74,-4.53,0.95,0.11,22.89
1952-01,5.43,12.04,23.5,-13.12,-7.43,-1.89,0.12,20.47
