Month,cdd_true,cdd_pred,label_true,label_pred,label_true_txt,label_pred_txt
2012-12-01,18.260000228881836,21.11983,2,2,Drought,Drought
2013-01-01,18.940000534057617,20.72042,2,2,Drought,Drought
2013-02-01,17.709999084472656,18.998264,2,2,Drought,Drought
2013-03-01,19.469999313354492,16.580736,2,2,Drought,Drought
2013-04-01,14.8100004196167,13.867179,1,1,Slight drought,Slight drought
2013-05-01,11.420000076293945,12.047559,1,1,Slight drought,Slight drought
2013-06-01,10.119999885559082,10.055353,0,0,Non-drought,Non-drought
2013-07-01,7.75,8.833061,0,0,Non-drought,Non-drought
2013-08-01,10.079999923706055,8.427237,0,0,Non-drought,Non-drought
2013-09-01,10.279999732971191,10.622474,0,0,Non-drought,Non-drought
2013-10-01,16.200000762939453,15.311984,2,1,Drought,Slight drought
2013-11-01,18.739999771118164,19.626554,2,2,Drought,Drought
2013-12-01,24.059999465942383,21.206726,2,2,Drought,Drought
2014-01-01,21.31999969482422,20.547913,2,2,Drought,Drought
2014-02-01,20.84000015258789,19.020632,2,2,Drought,Drought
2014-03-01,18.489999771118164,16.88343,2,2,Drought,Drought
2014-04-01,15.510000228881836,14.205117,1,1,Slight drought,Slight drought
2014-05-01,12.470000267028809,12.157824,1,1,Slight drought,Slight drought
2014-06-01,10.59000015258789,10.447128,0,0,Non-drought,Non-drought
2014-07-01,8.010000228881836,9.262206,0,0,Non-drought,Non-drought
2014-08-01,8.470000267028809,9.337839,0,0,Non-drought,Non-drought
2014-09-01,9.670000076293945,11.250411,0,1,Non-drought,Slight drought
2014-10-01,16.09000015258789,14.5661125,2,1,Drought,Slight drought
2014-11-01,18.1200008392334,18.81874,2,2,Drought,Drought
2014-12-01,23.020000457763672,20.890821,2,2,Drought,Drought
2015-01-01,18.799999237060547,21.004663,2,2,Drought,Drought
2015-02-01,20.520000457763672,18.941954,2,2,Drought,Drought
2015-03-01,18.299999237060547,16.624306,2,2,Drought,Drought
2015-04-01,13.34000015258789,14.223614,1,1,Slight drought,Slight drought
2015-05-01,12.029999732971191,12.185396,1,1,Slight drought,Slight drought
2015-06-01,9.039999961853027,10.289664,0,0,Non-drought,Non-drought
2015-07-01,10.569999694824219,8.900026,0,0,Non-drought,Non-drought
2015-08-01,10.020000457763672,9.722371,0,0,Non-drought,Non-drought
2015-09-01,10.149999618530273,11.311707,0,1,Non-drought,Slight drought
2015-10-01,16.059999465942383,15.089938,2,1,Drought,Slight drought
2015-11-01,15.239999771118164,18.52606,1,2,Slight drought,Drought
2015-12-01,19.399999618530273,19.93596,2,2,Drought,Drought
2016-01-01,17.59000015258789,20.051226,2,2,Drought,Drought
2016-02-01,19.829999923706055,18.698019,2,2,Drought,Drought
2016-03-01,19.950000762939453,16.799925,2,2,Drought,Drought
2016-04-01,13.979999542236328,14.013394,1,1,Slight drought,Slight drought
2016-05-01,10.619999885559082,11.237771,0,1,Non-drought,Slight drought
2016-06-01,9.390000343322754,9.593192,0,0,Non-drought,Non-drought
2016-07-01,8.779999732971191,8.572055,0,0,Non-drought,Non-drought
2016-08-01,9.020000457763672,8.331773,0,0,Non-drought,Non-drought
2016-09-01,11.1899995803833,11.011817,1,1,Slight drought,Slight drought
2016-10-01,13.699999809265137,15.111991,1,1,Slight drought,Slight drought
2016-11-01,17.399999618530273,18.702368,2,2,Drought,Drought
2016-12-01,21.860000610351562,20.919298,2,2,Drought,Drought
2017-01-01,20.739999771118164,20.616718,2,2,Drought,Drought
2017-02-01,19.559999465942383,19.036524,2,2,Drought,Drought
2017-03-01,18.0,16.81842,2,2,Drought,Drought
2017-04-01,14.039999961853027,14.489515,1,1,Slight drought,Slight drought
2017-05-01,12.430000305175781,12.504312,1,1,Slight drought,Slight drought
2017-06-01,9.350000381469727,11.051678,0,1,Non-drought,Slight drought
2017-07-01,9.069999694824219,9.046147,0,0,Non-drought,Non-drought
2017-08-01,7.800000190734863,8.83983,0,0,Non-drought,Non-drought
2017-09-01,10.420000076293945,10.279096,0,0,Non-drought,Non-drought
2017-10-01,14.930000305175781,15.158425,1,1,Slight drought,Slight drought
2017-11-01,21.950000762939453,19.125574,2,2,Drought,Drought
2017-12-01,24.770000457763672,21.429466,2,2,Drought,Drought
2018-01-01,19.760000228881836,21.165174,2,2,Drought,Drought
2018-02-01,21.229999542236328,18.921362,2,2,Drought,Drought
2018-03-01,17.40999984741211,16.929766,2,2,Drought,Drought
2018-04-01,13.609999656677246,14.174566,1,1,Slight drought,Slight drought
2018-05-01,11.739999771118164,12.188496,1,1,Slight drought,Slight drought
2018-06-01,10.819999694824219,10.759105,0,0,Non-drought,Non-drought
2018-07-01,8.079999923706055,9.528439,0,0,Non-drought,Non-drought
2018-08-01,7.429999828338623,8.844622,0,0,Non-drought,Non-drought
2018-09-01,9.270000457763672,10.165247,0,0,Non-drought,Non-drought
2018-10-01,16.639999389648438,14.846898,2,1,Drought,Slight drought
2018-11-01,18.290000915527344,20.049444,2,2,Drought,Drought
2018-12-01,21.68000030517578,21.482191,2,2,Drought,Drought
2019-01-01,19.8700008392334,20.84324,2,2,Drought,Drought
2019-02-01,17.600000381469727,18.744995,2,2,Drought,Drought
2019-03-01,17.889999389648438,16.33658,2,2,Drought,Drought
2019-04-01,15.800000190734863,13.920254,1,1,Slight drought,Slight drought
2019-05-01,12.539999961853027,11.840899,1,1,Slight drought,Slight drought
2019-06-01,10.710000038146973,10.612239,0,0,Non-drought,Non-drought
2019-07-01,8.100000381469727,9.108934,0,0,Non-drought,Non-drought
2019-08-01,9.40999984741211,8.931932,0,0,Non-drought,Non-drought
2019-09-01,13.350000381469727,10.816919,1,0,Slight drought,Non-drought
2019-10-01,16.139999389648438,15.2823305,2,1,Drought,Slight drought
2019-11-01,18.610000610351562,19.519146,2,2,Drought,Drought
2019-12-01,21.059999465942383,21.4754,2,2,Drought,Drought
2020-01-01,17.15999984741211,21.141388,2,2,Drought,Drought
2020-02-01,20.06999969482422,18.720041,2,2,Drought,Drought
2020-03-01,16.639999389648438,16.286968,2,2,Drought,Drought
2020-04-01,15.829999923706055,13.924846,1,1,Slight drought,Slight drought
2020-05-01,12.930000305175781,12.453148,1,1,Slight drought,Slight drought
2020-06-01,9.819999694824219,10.792403,0,0,Non-drought,Non-drought
2020-07-01,8.59000015258789,8.848348,0,0,Non-drought,Non-drought
2020-08-01,8.130000114440918,8.562349,0,0,Non-drought,Non-drought
2020-09-01,10.670000076293945,9.7039175,0,0,Non-drought,Non-drought
2020-10-01,17.540000915527344,14.028127,2,1,Drought,Slight drought
2020-11-01,21.6200008392334,19.379581,2,2,Drought,Drought
2020-12-01,24.350000381469727,21.30971,2,2,Drought,Drought
2021-01-01,19.989999771118164,21.466291,2,2,Drought,Drought
2021-02-01,19.719999313354492,19.472744,2,2,Drought,Drought
2021-03-01,15.949999809265137,16.49353,1,2,Slight drought,Drought
2021-04-01,12.279999732971191,14.111425,1,1,Slight drought,Slight drought
2021-05-01,11.779999732971191,12.537362,1,1,Slight drought,Slight drought
2021-06-01,9.609999656677246,10.619848,0,0,Non-drought,Non-drought
2021-07-01,9.489999771118164,9.468843,0,0,Non-drought,Non-drought
2021-08-01,9.100000381469727,8.514002,0,0,Non-drought,Non-drought
2021-09-01,10.359999656677246,10.115244,0,0,Non-drought,Non-drought
2021-10-01,14.489999771118164,14.239915,1,1,Slight drought,Slight drought
2021-11-01,19.209999084472656,18.258123,2,2,Drought,Drought
2021-12-01,22.729999542236328,21.044828,2,2,Drought,Drought
2022-01-01,19.1299991607666,21.029919,2,2,Drought,Drought
2022-02-01,17.959999084472656,19.104742,2,2,Drought,Drought
2022-03-01,20.18000030517578,16.718382,2,2,Drought,Drought
2022-04-01,16.459999084472656,13.502402,2,1,Drought,Slight drought
2022-05-01,12.020000457763672,11.492204,1,1,Slight drought,Slight drought
2022-06-01,10.260000228881836,10.027591,0,0,Non-drought,Non-drought
2022-07-01,9.970000267028809,8.342552,0,0,Non-drought,Non-drought
2022-08-01,9.619999885559082,9.575511,0,0,Non-drought,Non-drought
2022-09-01,13.239999771118164,12.108719,1,1,Slight drought,Slight drought
2022-10-01,17.350000381469727,16.175344,2,2,Drought,Drought
2022-11-01,18.600000381469727,19.46006,2,2,Drought,Drought
2022-12-01,24.3799991607666,20.413145,2,2,Drought,Drought
2023-01-01,19.700000762939453,20.848534,2,2,Drought,Drought
2023-02-01,21.020000457763672,19.227215,2,2,Drought,Drought
2023-03-01,21.010000228881836,16.760256,2,2,Drought,Drought
2023-04-01,14.979999542236328,14.215087,1,1,Slight drought,Slight drought
2023-05-01,11.130000114440918,12.023684,1,1,Slight drought,Slight drought
2023-06-01,10.979999542236328,11.0994425,0,1,Non-drought,Slight drought
2023-07-01,9.0,10.058773,0,0,Non-drought,Non-drought
2023-08-01,8.65999984741211,9.140952,0,0,Non-drought,Non-drought
2023-09-01,10.6899995803833,10.53632,0,0,Non-drought,Non-drought
2023-10-01,15.15999984741211,14.420087,1,1,Slight drought,Slight drought
2023-11-01,18.459999084472656,18.898836,2,2,Drought,Drought
2023-12-01,21.899999618530273,21.132473,2,2,Drought,Drought
