Month,hurs,pr,rx5day,r20mm,rx1day,hd35,tasmin,cdd
1950-01,82.82,211.84,81.05,2.0,28.71,0.05,21.53,4.43
1950-02,86.96,274.25,94.92,3.13,37.75,0.0,21.53,1.75
1950-03,87.11,255.96,83.27,2.11,29.81,0.0,21.75,1.42
1950-04,88.42,295.23,94.1,2.86,34.36,0.0,21.82,0.96
1950-05,87.75,198.94,69.23,1.01,25.23,0.0,21.82,2.36
1950-06,87.6,208.07,67.07,1.31,26.77,0.0,21.57,2.3
1950-07,86.65,210.3,62.36,1.29,23.14,0.0,20.86,2.82
1950-08,86.91,273.14,88.27,2.51,30.85,0.01,20.95,3.42
1950-09,86.08,246.26,81.06,2.14,29.13,0.1,21.28,3.23
1950-10,86.65,244.11,79.47,1.93,28.87,0.04,21.37,2.71
1950-11,88.27,279.92,83.89,2.37,30.24,0.0,21.44,1.0
1950-12,87.44,249.22,78.72,2.12,29.51,0.0,21.37,1.55
1951-01,87.41,252.69,78.28,2.12,28.29,0.0,21.16,1.73
1951-02,87.78,275.31,88.13,2.81,30.04,0.0,21.32,1.03
1951-03,86.33,231.31,75.81,2.19,29.45,0.0,21.45,2.23
1951-04,87.18,220.91,72.47,1.6,26.88,0.0,21.72,2.0
1951-05,85.67,144.72,48.95,0.58,17.38,0.0,21.81,3.23
1951-06,86.21,153.71,54.51,0.76,20.68,0.0,21.52,3.25
1951-07,85.64,174.5,59.48,1.12,21.78,0.0,21.0,4.69
1951-08,82.37,127.2,46.83,0.72,17.81,0.01,21.22,6.79
1951-09,82.22,168.61,63.51,1.38,26.39,0.13,21.48,6.53
1951-10,81.12,161.12,58.68,1.21,24.2,0.57,21.64,7.37
1951-11,84.99,230.02,80.09,1.78,31.05,0.33,22.04,3.05
1951-12,87.98,272.74,82.41,2.2,29.6,0.0,21.81,1.33
1952-01,87.64,309.6,113.66,3.8,40.54,0.0,21.85,2.48
1952-02,88.21,310.64,106.41,4.04,40.34,0.0,21.92,1.66
1952-03,88.85,330.39,97.63,3.44,36.41,0.0,21.85,0.88
1952-04,87.57,229.16,80.1,1.8,27.89,0.0,21.88,2.17
1952-05,87.92,209.71,63.81,1.1,24.45,0.0,22.17,1.84
1952-06,85.55,152.68,51.43,0.79,20.47,0.0,21.58,4.85
1952-07,84.67,172.8,58.66,1.15,22.22,0.0,21.18,5.11
1952-08,83.79,173.49,60.56,1.17,23.41,0.01,21.22,5.55
1952-09,83.78,201.36,68.8,1.71,28.47,0.06,21.28,4.73
1952-10,85.15,242.41,84.17,2.17,29.75,0.1,21.79,3.73
1952-11,87.66,283.38,86.46,2.4,34.42,0.01,21.7,1.16
1952-12,86.95,210.81,74.42,1.31,27.31,0.0,21.59,1.58
1953-01,86.93,240.56,80.1,1.92,32.43,0.0,21.55,1.3
1953-02,86.78,209.26,74.83,1.56,28.31,0.0,21.45,1.43
1953-03,87.54,264.04,82.01,2.12,32.63,0.0,21.74,1.28
1953-04,87.66,218.37,71.22,1.4,24.95,0.0,22.03,1.64
1953-05,87.76,225.45,69.37,1.19,26.32,0.0,21.9,2.63
1953-06,86.59,162.71,53.92,0.82,20.33,0.0,21.86,4.19
1953-07,86.16,197.52,59.96,1.2,22.14,0.0,21.12,4.06
1953-08,82.57,128.44,48.57,0.85,20.36,0.01,21.24,7.38
1953-09,81.59,182.21,65.19,1.51,24.75,0.16,21.31,6.34
1953-10,83.7,229.76,72.9,1.96,29.6,0.36,21.77,4.17
1953-11,86.59,253.85,79.53,2.04,31.5,0.06,21.97,1.88
1953-12,87.17,266.17,86.96,2.13,34.66,0.0,21.74,1.45
1954-01,88.41,329.36,94.62,3.21,34.23,0.0,21.67,0.77
1954-02,88.14,294.75,95.91,3.11,34.46,0.0,21.51,0.93
1954-03,87.78,278.46,86.47,2.39,31.26,0.0,21.69,1.48
1954-04,89.7,338.87,96.93,3.49,35.09,0.0,22.0,0.49
1954-05,88.68,262.61,77.49,1.77,29.47,0.0,21.92,1.08
1954-06,88.05,252.92,76.99,2.06,28.6,0.0,21.56,2.09
1954-07,87.78,257.44,78.61,2.24,29.42,0.0,21.05,2.6
1954-08,86.76,250.13,77.24,2.02,29.53,0.0,21.15,2.51
1954-09,85.65,245.47,81.24,2.36,33.41,0.01,21.14,3.62
1954-10,87.31,305.25,87.95,2.94,30.99,0.02,21.22,2.37
1954-11,87.83,301.07,93.55,3.08,33.64,0.01,21.33,1.34
1954-12,88.37,325.29,110.91,3.65,41.03,0.0,21.45,1.4
1955-01,88.61,338.49,99.03,3.55,36.23,0.0,21.18,0.76
1955-02,88.16,302.8,100.99,3.76,35.93,0.0,21.65,1.46
1955-03,87.31,271.35,82.74,2.2,29.34,0.0,21.49,1.61
1955-04,88.95,313.01,92.98,3.08,33.81,0.0,21.59,1.0
1955-05,88.62,279.57,85.1,2.31,31.3,0.0,21.96,2.16
1955-06,87.93,240.42,77.04,1.81,28.99,0.0,21.41,3.0
1955-07,88.01,255.63,73.45,1.87,25.74,0.0,21.01,2.05
1955-08,87.27,254.29,74.42,2.15,28.76,0.0,21.01,2.16
1955-09,86.5,261.34,84.5,2.42,32.33,0.02,21.31,2.4
1955-10,86.14,288.54,96.37,2.99,33.38,0.09,21.61,3.99
1955-11,88.24,326.22,111.89,3.58,39.5,0.0,21.66,1.26
1955-12,88.77,315.16,97.55,3.14,33.73,0.0,21.21,1.29
1956-01,88.33,311.88,97.36,3.17,35.09,0.0,21.19,1.41
1956-02,86.97,248.32,80.35,2.02,29.21,0.0,21.36,1.52
1956-03,87.01,256.85,81.62,1.93,27.68,0.0,21.51,1.88
1956-04,88.09,265.78,85.78,2.18,31.48,0.0,21.78,1.23
1956-05,88.77,263.37,78.07,1.92,27.86,0.0,21.69,1.3
