Month,pr,r20mm,rx5day,rx1day,hurs,r50mm,tasmin,cdd
1950-01,109.94,1.04,47.1,28.73,76.73,0.04,-3.8,5.1
1950-02,84.95,0.75,52.1,22.41,73.93,0.07,-3.82,5.69
1950-03,97.29,1.0,49.43,24.74,73.6,0.09,-0.35,7.71
1950-04,76.35,0.69,51.98,22.13,76.8,0.02,5.01,9.37
1950-05,122.72,1.62,53.46,29.59,77.87,0.13,10.74,8.14
1950-06,191.97,2.82,92.46,41.72,84.24,0.38,14.95,6.01
1950-07,171.86,2.0,77.49,35.23,85.45,0.25,19.82,5.0
1950-08,148.64,1.49,72.4,35.45,84.89,0.33,20.69,6.29
1950-09,169.91,2.14,71.47,38.18,82.64,0.31,16.9,5.28
1950-10,110.04,1.26,45.03,27.59,78.51,0.05,9.41,6.75
1950-11,119.8,1.27,52.4,29.13,79.26,0.05,4.11,5.73
1950-12,112.43,0.9,42.33,25.13,76.36,0.04,-2.91,5.37
1951-01,64.1,0.19,25.42,12.94,74.56,0.0,-5.51,6.98
1951-02,109.91,0.93,50.51,26.34,75.67,0.06,-3.79,8.36
1951-03,111.17,1.09,50.16,24.27,73.4,0.02,-0.99,5.84
1951-04,143.03,2.04,55.69,30.6,77.32,0.08,4.72,5.13
1951-05,109.31,1.21,43.82,30.44,77.06,0.21,10.03,6.24
1951-06,148.9,1.99,79.32,37.0,80.21,0.29,13.84,5.42
1951-07,213.98,3.36,112.43,47.83,84.81,0.89,18.06,8.03
1951-08,112.72,1.03,55.47,28.78,82.58,0.15,21.05,7.75
1951-09,140.52,1.93,59.58,32.26,79.66,0.12,14.65,5.15
1951-10,128.86,1.77,74.36,41.88,78.91,0.5,10.4,6.89
1951-11,136.89,1.8,49.42,30.14,78.01,0.1,3.52,5.83
1951-12,93.79,0.97,44.18,22.79,79.07,0.01,-0.47,7.19
1952-01,109.13,0.78,42.71,21.04,76.71,0.01,-4.9,4.15
1952-02,81.1,0.43,30.14,17.65,73.7,0.0,-5.86,5.77
1952-03,112.12,1.29,44.96,24.67,74.92,0.01,-1.2,6.06
1952-04,149.08,2.15,56.27,35.85,76.76,0.26,4.92,5.2
1952-05,135.96,2.12,48.99,30.86,76.92,0.26,9.53,5.96
1952-06,249.03,3.74,116.78,53.04,84.36,0.95,14.46,4.43
1952-07,260.0,3.87,135.94,59.8,87.01,1.13,18.69,6.05
1952-08,122.43,1.06,54.13,28.87,85.08,0.13,20.06,6.39
1952-09,140.82,1.61,61.87,30.07,82.74,0.11,16.49,4.57
1952-10,116.53,1.55,51.72,30.15,78.14,0.08,9.88,6.53
1952-11,92.11,0.93,48.13,34.54,78.98,0.23,4.24,6.91
1952-12,70.98,0.21,23.66,11.44,76.18,0.0,-3.29,6.53
1953-01,93.93,0.47,38.96,20.0,74.38,0.06,-4.42,5.83
1953-02,73.78,0.22,31.15,13.84,73.24,0.0,-3.96,6.8
1953-03,120.48,1.29,43.3,25.39,75.64,0.0,0.93,4.54
1953-04,110.64,1.08,44.48,34.01,73.96,0.18,4.04,7.01
1953-05,203.38,3.18,78.89,46.95,79.54,0.62,9.99,5.27
1953-06,294.93,5.29,115.62,49.05,86.62,1.07,15.19,5.37
1953-07,256.45,3.94,126.57,51.33,87.15,0.85,19.5,5.57
1953-08,208.54,2.72,99.22,44.96,84.95,0.41,19.91,5.42
1953-09,232.45,3.38,111.26,67.02,82.85,0.96,16.39,5.59
1953-10,78.0,0.7,46.96,23.04,77.56,0.02,10.08,10.34
1953-11,81.46,0.42,34.49,18.03,75.37,0.01,2.73,5.05
1953-12,95.53,0.96,41.38,28.86,77.15,0.03,0.19,6.07
1954-01,91.08,0.41,35.94,18.18,76.61,0.0,-2.67,4.53
1954-02,88.22,0.81,46.24,24.45,75.37,0.02,-2.22,7.41
1954-03,87.41,0.61,41.96,19.93,72.38,0.0,-0.38,7.09
1954-04,133.47,2.07,56.06,36.58,76.01,0.24,6.55,6.27
1954-05,181.58,2.88,65.77,34.4,78.08,0.13,10.45,4.27
1954-06,307.35,5.57,102.08,54.0,83.81,1.16,13.42,5.71
1954-07,181.41,2.54,84.29,40.85,85.51,0.29,17.49,7.69
1954-08,149.95,1.87,83.38,51.21,84.4,0.43,20.47,6.3
1954-09,217.91,3.05,98.04,60.57,83.14,0.78,17.68,4.76
1954-10,92.94,0.97,39.18,23.99,77.9,0.03,9.23,6.97
1954-11,74.85,0.64,45.36,27.67,76.23,0.2,4.7,11.26
1954-12,100.96,0.81,39.62,24.97,74.76,0.04,-0.25,7.78
1955-01,94.68,0.37,31.77,17.28,73.63,0.0,-4.51,5.4
1955-02,116.92,1.86,48.66,32.8,73.62,0.06,-2.4,5.95
1955-03,114.66,0.98,44.95,23.81,76.46,0.02,1.26,4.28
1955-04,118.04,1.52,56.58,31.44,74.96,0.16,5.95,5.9
1955-05,171.46,2.62,63.63,38.47,80.26,0.25,10.34,5.6
1955-06,209.94,3.42,95.58,43.63,83.96,0.58,16.04,5.05
1955-07,171.59,2.48,90.55,41.73,84.71,0.42,21.0,7.02
1955-08,150.6,1.98,83.17,43.23,82.3,0.36,20.2,7.92
1955-09,178.56,2.49,98.72,54.72,81.59,0.57,16.19,4.61
1955-10,235.47,3.88,108.32,61.96,79.51,0.79,10.77,4.49
1955-11,95.98,1.2,42.06,30.6,76.42,0.07,3.28,7.79
1955-12,77.62,0.59,35.09,19.52,75.2,0.03,0.4,10.04
1956-01,112.83,0.88,45.46,23.53,74.17,0.05,-3.64,5.63
1956-02,107.69,0.95,49.95,31.15,73.21,0.13,-3.96,5.88
1956-03,161.29,2.11,61.61,31.92,77.79,0.06,0.84,3.9
1956-04,142.56,1.89,65.63,33.29,74.07,0.11,5.25,5.34
1956-05,165.2,2.59,60.75,34.22,77.58,0.27,10.95,4.66
1956-06,202.53,3.06,79.7,39.59,83.64,0.23,15.27,3.79
1956-07,170.62,2.24,86.75,37.96,86.32,0.3,19.06,5.77
1956-08,197.6,3.08,96.28,51.6,82.86,0.57,18.96,8.95
1956-09,233.76,3.24,103.19,61.1,83.81,1.04,16.86,4.99
1956-10,146.28,2.02,60.72,37.74,79.82,0.29,11.15,6.45
1956-11,87.55,0.65,47.94,20.75,76.88,0.0,3.98,8.29
1956-12,76.95,0.23,27.56,12.61,75.47,0.0,-2.57,9.71
1957-01,79.04,0.39,33.21,16.21,75.46,0.0,-2.7,5.87
1957-02,97.34,0.97,51.58,22.7,73.51,0.0,-3.8,5.6
1957-03,101.53,0.8,50.43,28.38,72.38,0.09,-1.66,5.96
1957-04,136.77,1.85,83.52,34.19,76.85,0.3,6.1,7.65
1957-05,158.44,2.47,58.79,39.83,78.83,0.29,10.0,5.53
1957-06,169.57,2.26,80.41,43.17,83.24,0.54,13.99,5.07
1957-07,273.84,4.05,102.17,50.99,87.37,0.89,19.2,4.73
1957-08,212.8,2.63,91.02,44.76,86.69,0.42,20.67,4.73
1957-09,303.24,4.72,131.14,66.24,81.43,1.25,15.18,4.08
1957-10,94.24,1.03,41.47,27.59,77.16,0.05,10.02,7.05
1957-11,81.5,0.97,40.37,27.54,74.75,0.1,5.22,8.79
1957-12,109.83,0.84,37.53,23.19,75.39,0.02,0.27,4.93
1958-01,117.19,0.93,44.5,24.24,74.17,0.02,-3.03,5.31
1958-02,107.66,1.35,46.24,29.81,74.51,0.05,-1.95,6.34
1958-03,102.89,0.83,41.37,22.56,73.59,0.0,0.27,5.62
1958-04,157.06,2.17,64.98,31.04,76.31,0.14,6.11,5.31
1958-05,110.12,1.06,45.96,27.59,76.72,0.16,9.95,5.67
1958-06,128.04,1.55,77.19,35.67,79.83,0.33,15.26,8.23
1958-07,195.96,2.79,99.5,45.34,84.64,0.57,19.65,7.67
1958-08,197.49,2.19,87.73,48.51,85.27,0.39,19.77,4.24
1958-09,263.65,3.48,123.11,69.79,83.68,1.28,16.95,4.89
1958-10,188.26,3.16,74.04,43.97,80.2,0.37,9.94,6.54
1958-11,76.17,0.73,37.97,20.47,77.9,0.01,4.42,8.25
1958-12,115.69,1.09,55.9,30.86,77.56,0.15,0.76,6.9
