Month,hurs,pr,r20mm,rx5day,hd35,rx1day,tasmax,cdd
1950-01,82.65,118.41,0.52,47.14,0.0,17.19,28.08,6.83
1950-02,84.97,171.55,1.76,73.02,0.01,35.92,28.43,4.11
1950-03,85.37,181.17,0.77,61.47,0.03,21.04,29.31,2.76
1950-04,88.62,262.1,1.82,75.31,0.0,28.01,29.01,1.03
1950-05,88.13,184.22,0.61,59.54,0.0,22.16,29.2,1.36
1950-06,88.29,204.35,0.76,61.5,0.0,22.36,29.28,1.19
1950-07,87.57,204.74,0.87,59.85,0.0,22.1,28.96,1.31
1950-08,88.3,275.65,1.96,82.89,0.0,26.85,28.61,1.15
1950-09,88.72,259.95,1.69,81.32,0.0,26.76,28.93,0.83
1950-10,87.95,218.39,1.01,69.18,0.0,23.97,28.66,1.61
1950-11,89.2,225.81,1.32,65.17,0.0,24.88,28.01,0.66
1950-12,87.47,186.43,1.32,66.49,0.0,26.44,27.41,3.44
1951-01,86.88,195.26,1.34,75.53,0.0,26.97,27.44,2.89
1951-02,86.08,181.79,1.23,61.83,0.0,20.69,28.05,2.87
1951-03,81.56,99.53,0.39,36.56,0.0,16.65,29.3,5.47
1951-04,85.52,197.81,1.19,60.74,0.03,21.54,29.37,2.73
1951-05,83.96,122.11,0.15,39.23,0.0,14.32,29.44,3.17
1951-06,84.22,128.27,0.31,46.38,0.0,16.28,29.58,3.53
1951-07,85.83,187.05,1.01,62.55,0.0,23.87,28.79,2.12
1951-08,84.31,153.86,0.61,57.42,0.0,19.31,29.47,4.86
1951-09,85.73,198.31,1.03,60.32,0.0,21.24,28.83,3.75
1951-10,86.57,211.25,1.16,68.55,0.0,24.08,28.82,2.06
1951-11,87.48,197.48,0.9,62.56,0.0,24.49,28.98,1.89
1951-12,88.25,227.86,1.29,69.67,0.0,23.66,28.21,1.77
1952-01,86.79,218.43,2.21,92.96,0.0,37.59,28.15,4.6
1952-02,86.23,195.44,1.65,77.99,0.0,32.96,28.51,3.81
1952-03,87.33,226.29,1.37,64.2,0.0,22.66,29.34,1.16
1952-04,87.67,204.19,1.07,70.16,0.0,23.86,29.53,1.3
1952-05,87.64,188.26,0.5,53.04,0.0,17.94,29.59,1.99
1952-06,85.59,122.01,0.16,40.64,0.0,13.73,29.6,3.34
1952-07,85.58,150.21,0.58,54.03,0.0,18.44,29.12,2.75
1952-08,84.21,156.08,0.55,56.82,0.0,18.79,29.25,3.6
1952-09,86.56,229.36,1.81,73.98,0.0,25.81,29.07,2.49
1952-10,89.41,299.35,2.32,87.88,0.0,31.34,28.8,0.77
1952-11,89.25,264.91,1.57,72.05,0.0,29.81,28.33,0.59
1952-12,87.14,181.07,1.05,66.68,0.0,25.53,27.97,2.5
1953-01,86.6,178.74,1.02,61.97,0.0,26.39,27.94,2.24
1953-02,86.68,187.28,1.23,69.8,0.0,27.08,28.39,1.97
1953-03,86.01,181.77,1.0,62.33,0.0,23.48,29.15,2.32
1953-04,86.46,198.09,1.14,59.46,0.0,22.72,29.8,2.18
1953-05,88.53,233.88,0.85,63.55,0.01,22.82,29.37,0.8
1953-06,88.2,170.12,0.4,50.96,0.0,17.31,29.31,1.5
1953-07,87.98,215.34,0.84,58.33,0.0,20.08,28.79,1.52
1953-08,85.21,131.37,0.27,46.27,0.0,16.25,29.59,4.43
1953-09,86.94,226.59,1.44,71.89,0.0,24.58,28.91,1.95
1953-10,87.86,266.8,1.66,75.97,0.0,28.19,29.06,0.6
1953-11,88.01,205.74,0.93,63.3,0.0,23.23,28.86,0.86
1953-12,87.61,202.31,0.96,65.14,0.0,26.72,28.38,1.96
1954-01,87.73,224.19,1.41,65.93,0.0,24.75,28.29,1.3
1954-02,86.33,174.18,0.98,61.74,0.0,26.28,28.53,2.33
1954-03,87.31,262.88,2.26,90.61,0.02,33.07,28.85,2.27
1954-04,89.73,325.24,3.48,91.54,0.0,33.51,28.94,0.6
1954-05,88.72,218.76,0.8,63.29,0.0,23.41,29.2,0.92
1954-06,89.33,255.82,1.56,75.5,0.0,30.47,28.82,0.86
1954-07,89.48,276.39,2.18,86.78,0.0,30.25,28.3,1.05
1954-08,88.12,222.4,0.96,67.66,0.0,21.34,28.95,1.61
1954-09,88.87,255.55,1.88,79.37,0.0,27.74,28.43,1.17
1954-10,90.07,356.65,3.39,91.55,0.0,30.93,28.2,0.15
1954-11,89.37,263.91,1.72,78.88,0.0,26.27,28.0,1.21
1954-12,88.89,273.63,3.0,95.34,0.0,33.65,27.71,2.33
1955-01,89.46,340.06,4.15,104.14,0.0,37.33,27.47,1.41
1955-02,86.5,180.29,1.33,62.11,0.04,23.7,28.33,2.89
1955-03,84.63,170.17,0.87,60.63,0.22,24.58,29.22,5.66
1955-04,88.15,260.57,1.87,78.23,0.09,28.24,29.47,0.97
1955-05,87.2,204.14,1.23,68.83,0.0,22.78,29.88,4.3
1955-06,87.85,215.89,1.73,73.31,0.01,27.63,29.28,2.38
1955-07,86.55,208.7,1.33,69.5,0.0,24.64,29.19,2.62
1955-08,88.86,281.62,1.91,81.84,0.0,26.29,28.64,1.06
1955-09,88.87,288.55,2.37,93.39,0.0,36.21,28.87,1.09
1955-10,89.53,327.11,2.87,92.8,0.0,31.24,29.0,0.95
1955-11,89.56,302.26,2.93,111.95,0.0,41.78,28.48,1.45
1955-12,89.12,310.02,3.3,106.53,0.0,41.42,27.3,2.98
1956-01,88.37,263.8,2.48,90.76,0.0,33.33,27.45,3.02
1956-02,86.7,203.3,1.45,72.13,0.05,26.48,28.54,2.94
1956-03,85.47,197.12,1.34,66.15,0.07,22.32,29.33,2.85
1956-04,88.18,241.28,1.48,74.91,0.02,27.5,29.48,1.96
1956-05,89.13,276.25,1.74,75.15,0.0,27.79,29.38,0.83
