Month,pr,rx5day,rx1day,hurs,tasmin,r20mm,tas,cdd
1950-01,8.51,5.62,4.0,56.66,16.45,0.03,22.97,24.75
1950-02,11.45,7.1,3.9,55.1,17.86,0.03,24.58,25.13
1950-03,57.15,25.96,14.14,60.57,21.24,0.18,27.1,22.73
1950-04,74.35,35.65,15.94,64.91,23.35,0.28,28.06,10.39
1950-05,130.61,51.54,19.23,75.26,23.75,0.65,27.18,5.81
1950-06,224.57,72.35,28.97,83.18,23.64,1.69,26.25,1.88
1950-07,156.76,51.28,18.14,80.62,23.19,0.65,26.0,3.16
1950-08,154.26,58.21,20.78,80.14,23.21,0.82,26.0,5.06
1950-09,305.56,98.13,39.33,87.84,23.0,2.87,25.53,0.83
1950-10,214.65,67.6,25.8,88.02,22.16,1.09,24.73,1.76
1950-11,107.05,49.18,19.04,83.47,20.47,0.39,23.91,11.49
1950-12,28.79,34.67,10.86,75.38,16.31,0.31,20.89,24.23
1951-01,25.07,17.5,7.94,68.61,17.18,0.09,22.34,16.38
1951-02,19.83,14.18,7.59,62.02,17.93,0.05,24.22,21.95
1951-03,25.14,19.78,9.78,58.77,20.89,0.09,26.74,19.66
1951-04,54.31,29.21,13.37,59.93,23.12,0.23,28.28,21.59
1951-05,114.38,70.08,17.13,72.61,23.64,0.59,27.32,6.0
1951-06,189.14,85.87,33.49,81.17,23.52,2.23,26.2,4.56
1951-07,166.15,81.58,29.3,80.0,23.14,1.48,26.09,4.78
1951-08,208.97,82.43,30.05,84.24,23.43,1.74,26.03,2.41
1951-09,215.64,94.67,38.72,86.21,23.05,2.03,25.88,2.52
1951-10,199.38,79.12,27.14,86.9,22.16,1.58,25.05,4.65
1951-11,95.06,40.94,14.92,83.33,21.06,0.27,24.44,10.26
1951-12,41.37,26.91,10.42,75.07,18.03,0.22,22.33,17.72
1952-01,13.98,6.73,2.64,61.07,17.16,0.05,23.15,25.75
1952-02,47.96,34.19,16.23,63.08,19.64,0.25,25.55,25.13
1952-03,215.03,90.22,36.39,78.67,21.16,2.59,25.77,6.91
1952-04,78.6,35.76,17.72,74.29,22.51,0.33,27.39,7.12
1952-05,157.89,56.02,19.72,78.3,23.97,0.74,27.57,4.48
1952-06,190.52,60.0,20.27,82.02,23.76,1.08,26.63,1.61
1952-07,161.45,67.82,23.58,80.17,23.57,1.27,26.26,4.05
1952-08,298.22,91.18,32.86,86.88,23.09,3.44,25.54,1.66
1952-09,263.81,75.15,29.3,87.31,22.83,2.78,25.47,1.85
1952-10,269.72,107.0,48.37,87.2,22.49,2.84,25.13,2.46
1952-11,76.94,35.68,13.91,81.8,20.39,0.5,23.98,10.51
1952-12,68.05,40.31,20.8,74.57,15.84,0.47,20.92,16.21
1953-01,210.0,156.07,57.05,80.61,17.62,3.2,22.2,7.93
1953-02,227.16,134.4,52.16,85.68,18.83,3.14,22.89,4.19
1953-03,160.6,73.47,29.72,84.19,20.5,1.29,25.14,4.72
1953-04,242.36,78.86,27.78,87.3,22.08,1.88,25.83,2.88
1953-05,191.39,60.53,21.94,86.28,22.91,0.93,26.21,1.78
1953-06,199.56,79.08,36.68,84.49,23.28,1.83,26.2,3.81
1953-07,143.38,70.04,26.15,80.34,22.86,1.36,26.01,10.32
1953-08,176.28,74.42,29.19,82.59,22.92,1.58,25.67,4.05
1953-09,238.93,77.1,26.35,86.88,22.4,1.71,25.36,2.31
1953-10,124.22,56.65,20.61,85.7,21.99,0.48,25.32,4.44
1953-11,241.92,88.48,42.01,86.02,20.1,2.81,23.21,2.85
1953-12,42.1,26.57,11.96,76.6,17.38,0.22,21.86,13.62
1954-01,23.81,10.35,4.67,66.85,18.48,0.01,23.94,18.1
1954-02,22.18,17.23,8.63,60.1,18.6,0.06,24.61,21.05
1954-03,41.52,25.66,13.83,58.04,20.25,0.25,26.05,17.83
1954-04,82.15,60.32,21.58,60.77,23.19,0.72,28.25,19.1
1954-05,175.82,64.48,22.01,82.26,23.61,0.93,26.77,2.75
1954-06,108.86,42.28,14.43,76.75,23.99,0.26,27.09,7.12
1954-07,147.4,53.16,19.91,78.13,23.48,0.68,26.58,3.7
1954-08,235.12,82.14,28.07,84.24,23.38,1.78,25.98,1.81
1954-09,326.02,120.1,44.6,87.98,22.93,4.33,25.39,1.91
1954-10,119.72,59.47,22.53,82.16,21.57,0.68,24.86,12.67
