Month,rx5day_true,rx5day_pred,label_true,label_pred,label_true_txt,label_pred_txt
2012-11-01,19.290000915527344,15.168747,0,0,Non-flood,Non-flood
2012-12-01,11.199999809265137,11.236683,0,0,Non-flood,Non-flood
2013-01-01,7.769999980926514,7.9265003,0,0,Non-flood,Non-flood
2013-02-01,11.829999923706055,10.078331,0,0,Non-flood,Non-flood
2013-03-01,19.049999237060547,17.074366,0,0,Non-flood,Non-flood
2013-04-01,26.010000228881836,27.924158,0,0,Non-flood,Non-flood
2013-05-01,41.150001525878906,39.85733,0,0,Non-flood,Non-flood
2013-06-01,56.90999984741211,54.426067,1,1,Slight flood,Slight flood
2013-07-01,58.18000030517578,58.02543,1,1,Slight flood,Slight flood
2013-08-01,53.119998931884766,52.89955,1,1,Slight flood,Slight flood
2013-09-01,39.540000915527344,37.893528,0,0,Non-flood,Non-flood
2013-10-01,21.780000686645508,25.041592,0,0,Non-flood,Non-flood
2013-11-01,17.350000381469727,15.035591,0,0,Non-flood,Non-flood
2013-12-01,15.4399995803833,10.142441,0,0,Non-flood,Non-flood
2014-01-01,5.900000095367432,8.918682,0,0,Non-flood,Non-flood
2014-02-01,12.899999618530273,10.014252,0,0,Non-flood,Non-flood
2014-03-01,20.139999389648438,16.52843,0,0,Non-flood,Non-flood
2014-04-01,27.3700008392334,26.994577,0,0,Non-flood,Non-flood
2014-05-01,37.58000183105469,39.24163,0,0,Non-flood,Non-flood
2014-06-01,49.84000015258789,51.30417,0,1,Non-flood,Slight flood
2014-07-01,54.689998626708984,55.754417,1,1,Slight flood,Slight flood
2014-08-01,49.2400016784668,51.525017,0,1,Non-flood,Slight flood
2014-09-01,42.189998626708984,37.626507,0,0,Non-flood,Non-flood
2014-10-01,23.729999542236328,26.811745,0,0,Non-flood,Non-flood
2014-11-01,15.229999542236328,16.869349,0,0,Non-flood,Non-flood
2014-12-01,8.619999885559082,12.32789,0,0,Non-flood,Non-flood
2015-01-01,13.130000114440918,8.866497,0,0,Non-flood,Non-flood
2015-02-01,13.539999961853027,13.07933,0,0,Non-flood,Non-flood
2015-03-01,21.110000610351562,19.372822,0,0,Non-flood,Non-flood
2015-04-01,29.899999618530273,28.31716,0,0,Non-flood,Non-flood
2015-05-01,40.709999084472656,40.003548,0,0,Non-flood,Non-flood
2015-06-01,52.25,53.09406,1,1,Slight flood,Slight flood
2015-07-01,51.97999954223633,57.575485,1,1,Slight flood,Slight flood
2015-08-01,53.02000045776367,47.69137,1,0,Slight flood,Non-flood
2015-09-01,37.0099983215332,37.8077,0,0,Non-flood,Non-flood
2015-10-01,28.6299991607666,26.45694,0,0,Non-flood,Non-flood
2015-11-01,22.770000457763672,17.85005,0,0,Non-flood,Non-flood
2015-12-01,15.539999961853027,14.298201,0,0,Non-flood,Non-flood
2016-01-01,13.600000381469727,11.070221,0,0,Non-flood,Non-flood
2016-02-01,12.279999732971191,13.151316,0,0,Non-flood,Non-flood
2016-03-01,22.440000534057617,17.198008,0,0,Non-flood,Non-flood
2016-04-01,32.5,26.724892,0,0,Non-flood,Non-flood
2016-05-01,41.56999969482422,43.33357,0,0,Non-flood,Non-flood
2016-06-01,53.349998474121094,53.797035,1,1,Slight flood,Slight flood
2016-07-01,66.55000305175781,57.493774,1,1,Slight flood,Slight flood
2016-08-01,52.06999969482422,49.59837,1,0,Slight flood,Non-flood
2016-09-01,41.27000045776367,36.39314,0,0,Non-flood,Non-flood
2016-10-01,32.9900016784668,25.958881,0,0,Non-flood,Non-flood
2016-11-01,17.479999542236328,17.831606,0,0,Non-flood,Non-flood
2016-12-01,9.0,11.954899,0,0,Non-flood,Non-flood
2017-01-01,11.470000267028809,11.805246,0,0,Non-flood,Non-flood
2017-02-01,12.40999984741211,14.9950485,0,0,Non-flood,Non-flood
2017-03-01,19.31999969482422,20.88483,0,0,Non-flood,Non-flood
2017-04-01,27.219999313354492,30.261127,0,0,Non-flood,Non-flood
2017-05-01,32.77000045776367,41.360714,0,0,Non-flood,Non-flood
2017-06-01,55.58000183105469,51.385002,1,1,Slight flood,Slight flood
2017-07-01,59.439998626708984,60.087883,1,1,Slight flood,Slight flood
2017-08-01,59.380001068115234,51.472694,1,1,Slight flood,Slight flood
2017-09-01,32.599998474121094,41.020924,0,0,Non-flood,Non-flood
2017-10-01,27.15999984741211,25.11163,0,0,Non-flood,Non-flood
2017-11-01,11.520000457763672,16.276064,0,0,Non-flood,Non-flood
2017-12-01,5.5,10.931961,0,0,Non-flood,Non-flood
2018-01-01,18.510000228881836,9.097351,0,0,Non-flood,Non-flood
2018-02-01,9.850000381469727,11.973112,0,0,Non-flood,Non-flood
2018-03-01,18.239999771118164,16.102613,0,0,Non-flood,Non-flood
2018-04-01,25.559999465942383,27.365356,0,0,Non-flood,Non-flood
2018-05-01,35.59000015258789,38.773422,0,0,Non-flood,Non-flood
2018-06-01,51.9900016784668,49.77438,1,0,Slight flood,Non-flood
2018-07-01,60.83000183105469,56.015064,1,1,Slight flood,Slight flood
2018-08-01,55.66999816894531,50.460594,1,1,Slight flood,Slight flood
2018-09-01,40.70000076293945,38.824738,0,0,Non-flood,Non-flood
2018-10-01,19.09000015258789,24.291348,0,0,Non-flood,Non-flood
2018-11-01,17.0,13.9702015,0,0,Non-flood,Non-flood
2018-12-01,12.270000457763672,11.152285,0,0,Non-flood,Non-flood
2019-01-01,10.34000015258789,9.902187,0,0,Non-flood,Non-flood
2019-02-01,14.779999732971191,13.490292,0,0,Non-flood,Non-flood
2019-03-01,18.709999084472656,20.148275,0,0,Non-flood,Non-flood
2019-04-01,24.059999465942383,29.232048,0,0,Non-flood,Non-flood
2019-05-01,37.75,41.526386,0,0,Non-flood,Non-flood
2019-06-01,51.63999938964844,51.97358,1,1,Slight flood,Slight flood
2019-07-01,56.90999984741211,59.136047,1,1,Slight flood,Slight flood
2019-08-01,52.630001068115234,52.239304,1,1,Slight flood,Slight flood
2019-09-01,36.380001068115234,38.248386,0,0,Non-flood,Non-flood
2019-10-01,21.1200008392334,25.338686,0,0,Non-flood,Non-flood
2019-11-01,9.960000038146973,16.457266,0,0,Non-flood,Non-flood
2019-12-01,9.6899995803833,11.633091,0,0,Non-flood,Non-flood
2020-01-01,18.229999542236328,10.049656,0,0,Non-flood,Non-flood
2020-02-01,16.219999313354492,15.21228,0,0,Non-flood,Non-flood
2020-03-01,19.329999923706055,22.039501,0,0,Non-flood,Non-flood
2020-04-01,24.149999618530273,31.3038,0,0,Non-flood,Non-flood
2020-05-01,39.2599983215332,39.27642,0,0,Non-flood,Non-flood
2020-06-01,53.880001068115234,52.601227,1,1,Slight flood,Slight flood
2020-07-01,57.9900016784668,61.193848,1,1,Slight flood,Slight flood
2020-08-01,56.810001373291016,51.71,1,1,Slight flood,Slight flood
2020-09-01,43.540000915527344,39.955254,0,0,Non-flood,Non-flood
2020-10-01,21.360000610351562,25.670982,0,0,Non-flood,Non-flood
2020-11-01,16.15999984741211,14.155333,0,0,Non-flood,Non-flood
2020-12-01,6.0,9.622089,0,0,Non-flood,Non-flood
2021-01-01,6.429999828338623,7.22258,0,0,Non-flood,Non-flood
2021-02-01,16.549999237060547,9.228605,0,0,Non-flood,Non-flood
2021-03-01,20.56999969482422,18.441586,0,0,Non-flood,Non-flood
2021-04-01,24.989999771118164,28.507896,0,0,Non-flood,Non-flood
2021-05-01,42.529998779296875,39.023407,0,0,Non-flood,Non-flood
2021-06-01,53.720001220703125,52.46263,1,1,Slight flood,Slight flood
2021-07-01,62.40999984741211,53.868355,1,1,Slight flood,Slight flood
2021-08-01,58.04999923706055,51.16011,1,1,Slight flood,Slight flood
2021-09-01,41.310001373291016,40.89189,0,0,Non-flood,Non-flood
2021-10-01,33.630001068115234,28.794891,0,0,Non-flood,Non-flood
2021-11-01,17.510000228881836,17.756744,0,0,Non-flood,Non-flood
2021-12-01,8.619999885559082,10.144886,0,0,Non-flood,Non-flood
2022-01-01,12.569999694824219,8.035126,0,0,Non-flood,Non-flood
2022-02-01,14.880000114440918,12.16638,0,0,Non-flood,Non-flood
2022-03-01,24.950000762939453,17.86416,0,0,Non-flood,Non-flood
2022-04-01,29.850000381469727,30.160686,0,0,Non-flood,Non-flood
2022-05-01,40.220001220703125,41.895218,0,0,Non-flood,Non-flood
2022-06-01,55.720001220703125,53.68422,1,1,Slight flood,Slight flood
2022-07-01,51.970001220703125,61.421394,1,1,Slight flood,Slight flood
2022-08-01,44.029998779296875,49.760723,0,0,Non-flood,Non-flood
2022-09-01,33.45000076293945,34.375156,0,0,Non-flood,Non-flood
2022-10-01,27.8700008392334,23.588776,0,0,Non-flood,Non-flood
2022-11-01,19.65999984741211,16.140476,0,0,Non-flood,Non-flood
2022-12-01,8.369999885559082,12.528761,0,0,Non-flood,Non-flood
2023-01-01,8.529999732971191,7.6891365,0,0,Non-flood,Non-flood
2023-02-01,12.720000267028809,10.048012,0,0,Non-flood,Non-flood
2023-03-01,21.389999389648438,16.881914,0,0,Non-flood,Non-flood
2023-04-01,29.25,28.082146,0,0,Non-flood,Non-flood
2023-05-01,34.27000045776367,39.89818,0,0,Non-flood,Non-flood
2023-06-01,48.099998474121094,47.92737,0,0,Non-flood,Non-flood
2023-07-01,57.31999969482422,52.848194,1,1,Slight flood,Slight flood
2023-08-01,51.599998474121094,50.361378,1,1,Slight flood,Slight flood
2023-09-01,39.790000915527344,38.636097,0,0,Non-flood,Non-flood
2023-10-01,24.8799991607666,27.353058,0,0,Non-flood,Non-flood
