Month,rx5day_true,rx5day_pred,label_true,label_pred,label_true_txt,label_pred_txt
2012-12-01,11.199999809265137,10.431124,0,0,Non-flood,Non-flood
2013-01-01,7.769999980926514,9.091591,0,0,Non-flood,Non-flood
2013-02-01,11.829999923706055,13.540546,0,0,Non-flood,Non-flood
2013-03-01,19.049999237060547,20.168999,0,0,Non-flood,Non-flood
2013-04-01,26.010000228881836,30.631489,0,0,Non-flood,Non-flood
2013-05-01,41.150001525878906,40.08483,0,0,Non-flood,Non-flood
2013-06-01,56.90999984741211,53.062614,1,1,Slight flood,Slight flood
2013-07-01,58.18000030517578,56.957012,1,1,Slight flood,Slight flood
2013-08-01,53.119998931884766,52.869675,1,1,Slight flood,Slight flood
2013-09-01,39.540000915527344,39.073967,0,0,Non-flood,Non-flood
2013-10-01,21.780000686645508,21.69929,0,0,Non-flood,Non-flood
2013-11-01,17.350000381469727,12.6553755,0,0,Non-flood,Non-flood
2013-12-01,15.4399995803833,9.838234,0,0,Non-flood,Non-flood
2014-01-01,5.900000095367432,10.263845,0,0,Non-flood,Non-flood
2014-02-01,12.899999618530273,14.408041,0,0,Non-flood,Non-flood
2014-03-01,20.139999389648438,19.07727,0,0,Non-flood,Non-flood
2014-04-01,27.3700008392334,29.329556,0,0,Non-flood,Non-flood
2014-05-01,37.58000183105469,41.548714,0,0,Non-flood,Non-flood
2014-06-01,49.84000015258789,51.03887,0,1,Non-flood,Slight flood
2014-07-01,54.689998626708984,55.36257,1,1,Slight flood,Slight flood
2014-08-01,49.2400016784668,50.00159,0,1,Non-flood,Slight flood
2014-09-01,42.189998626708984,36.89333,0,0,Non-flood,Non-flood
2014-10-01,23.729999542236328,24.92316,0,0,Non-flood,Non-flood
2014-11-01,15.229999542236328,14.994995,0,0,Non-flood,Non-flood
2014-12-01,8.619999885559082,10.067189,0,0,Non-flood,Non-flood
2015-01-01,13.130000114440918,7.665123,0,0,Non-flood,Non-flood
2015-02-01,13.539999961853027,14.805392,0,0,Non-flood,Non-flood
2015-03-01,21.110000610351562,21.402765,0,0,Non-flood,Non-flood
2015-04-01,29.899999618530273,29.253607,0,0,Non-flood,Non-flood
2015-05-01,40.709999084472656,39.504425,0,0,Non-flood,Non-flood
2015-06-01,52.25,53.11507,1,1,Slight flood,Slight flood
2015-07-01,51.97999954223633,57.74962,1,1,Slight flood,Slight flood
2015-08-01,53.02000045776367,47.244213,1,0,Slight flood,Non-flood
2015-09-01,37.0099983215332,38.91941,0,0,Non-flood,Non-flood
2015-10-01,28.6299991607666,23.901632,0,0,Non-flood,Non-flood
2015-11-01,22.770000457763672,15.585734,0,0,Non-flood,Non-flood
2015-12-01,15.539999961853027,13.712335,0,0,Non-flood,Non-flood
2016-01-01,13.600000381469727,11.534571,0,0,Non-flood,Non-flood
2016-02-01,12.279999732971191,15.39008,0,0,Non-flood,Non-flood
2016-03-01,22.440000534057617,20.437344,0,0,Non-flood,Non-flood
2016-04-01,32.5,31.755877,0,0,Non-flood,Non-flood
2016-05-01,41.56999969482422,47.22742,0,0,Non-flood,Non-flood
2016-06-01,53.349998474121094,53.94814,1,1,Slight flood,Slight flood
2016-07-01,66.55000305175781,57.657753,1,1,Slight flood,Slight flood
2016-08-01,52.06999969482422,52.42686,1,1,Slight flood,Slight flood
2016-09-01,41.27000045776367,36.037514,0,0,Non-flood,Non-flood
2016-10-01,32.9900016784668,22.214514,0,0,Non-flood,Non-flood
2016-11-01,17.479999542236328,13.730301,0,0,Non-flood,Non-flood
2016-12-01,9.0,10.050296,0,0,Non-flood,Non-flood
2017-01-01,11.470000267028809,13.061086,0,0,Non-flood,Non-flood
2017-02-01,12.40999984741211,14.886863,0,0,Non-flood,Non-flood
2017-03-01,19.31999969482422,20.058954,0,0,Non-flood,Non-flood
2017-04-01,27.219999313354492,29.370256,0,0,Non-flood,Non-flood
2017-05-01,32.77000045776367,40.41472,0,0,Non-flood,Non-flood
2017-06-01,55.58000183105469,49.855618,1,0,Slight flood,Non-flood
2017-07-01,59.439998626708984,58.095207,1,1,Slight flood,Slight flood
2017-08-01,59.380001068115234,51.08123,1,1,Slight flood,Slight flood
2017-09-01,32.599998474121094,38.623074,0,0,Non-flood,Non-flood
2017-10-01,27.15999984741211,22.564997,0,0,Non-flood,Non-flood
2017-11-01,11.520000457763672,13.494472,0,0,Non-flood,Non-flood
2017-12-01,5.5,8.497338,0,0,Non-flood,Non-flood
2018-01-01,18.510000228881836,9.518322,0,0,Non-flood,Non-flood
2018-02-01,9.850000381469727,12.932837,0,0,Non-flood,Non-flood
2018-03-01,18.239999771118164,17.839817,0,0,Non-flood,Non-flood
2018-04-01,25.559999465942383,31.207985,0,0,Non-flood,Non-flood
2018-05-01,35.59000015258789,40.959076,0,0,Non-flood,Non-flood
2018-06-01,51.9900016784668,48.82112,1,0,Slight flood,Non-flood
2018-07-01,60.83000183105469,54.96907,1,1,Slight flood,Slight flood
2018-08-01,55.66999816894531,51.73624,1,1,Slight flood,Slight flood
2018-09-01,40.70000076293945,38.65112,0,0,Non-flood,Non-flood
2018-10-01,19.09000015258789,20.683735,0,0,Non-flood,Non-flood
2018-11-01,17.0,10.123679,0,0,Non-flood,Non-flood
2018-12-01,12.270000457763672,9.81298,0,0,Non-flood,Non-flood
2019-01-01,10.34000015258789,8.810146,0,0,Non-flood,Non-flood
2019-02-01,14.779999732971191,14.563672,0,0,Non-flood,Non-flood
2019-03-01,18.709999084472656,21.43174,0,0,Non-flood,Non-flood
2019-04-01,24.059999465942383,30.673016,0,0,Non-flood,Non-flood
2019-05-01,37.75,43.01851,0,0,Non-flood,Non-flood
2019-06-01,51.63999938964844,49.45705,1,0,Slight flood,Non-flood
2019-07-01,56.90999984741211,56.358505,1,1,Slight flood,Slight flood
2019-08-01,52.630001068115234,52.33203,1,1,Slight flood,Slight flood
2019-09-01,36.380001068115234,38.291206,0,0,Non-flood,Non-flood
2019-10-01,21.1200008392334,23.185293,0,0,Non-flood,Non-flood
2019-11-01,9.960000038146973,12.281831,0,0,Non-flood,Non-flood
2019-12-01,9.6899995803833,8.203162,0,0,Non-flood,Non-flood
2020-01-01,18.229999542236328,8.169311,0,0,Non-flood,Non-flood
2020-02-01,16.219999313354492,15.477045,0,0,Non-flood,Non-flood
2020-03-01,19.329999923706055,23.381979,0,0,Non-flood,Non-flood
2020-04-01,24.149999618530273,32.369175,0,0,Non-flood,Non-flood
2020-05-01,39.2599983215332,38.360348,0,0,Non-flood,Non-flood
2020-06-01,53.880001068115234,50.41517,1,1,Slight flood,Slight flood
2020-07-01,57.9900016784668,60.19481,1,1,Slight flood,Slight flood
2020-08-01,56.810001373291016,52.009426,1,1,Slight flood,Slight flood
2020-09-01,43.540000915527344,41.244003,0,0,Non-flood,Non-flood
2020-10-01,21.360000610351562,26.051405,0,0,Non-flood,Non-flood
2020-11-01,16.15999984741211,12.703707,0,0,Non-flood,Non-flood
2020-12-01,6.0,10.254082,0,0,Non-flood,Non-flood
2021-01-01,6.429999828338623,7.1299806,0,0,Non-flood,Non-flood
2021-02-01,16.549999237060547,11.516562,0,0,Non-flood,Non-flood
2021-03-01,20.56999969482422,22.857119,0,0,Non-flood,Non-flood
2021-04-01,24.989999771118164,31.425068,0,0,Non-flood,Non-flood
2021-05-01,42.529998779296875,36.697983,0,0,Non-flood,Non-flood
2021-06-01,53.720001220703125,50.631912,1,1,Slight flood,Slight flood
2021-07-01,62.40999984741211,56.600643,1,1,Slight flood,Slight flood
2021-08-01,58.04999923706055,52.7628,1,1,Slight flood,Slight flood
2021-09-01,41.310001373291016,38.355713,0,0,Non-flood,Non-flood
2021-10-01,33.630001068115234,25.49035,0,0,Non-flood,Non-flood
