Month,pr,r20mm,r50mm,tasmin,tas,hurs,hi35,rx5day
1950-01,26.12,0.36,0.03,11.7,17.73,54.02,0.0,16.52
1950-02,32.82,0.3,0.03,11.52,17.8,51.17,0.0,23.39
1950-03,76.44,0.74,0.03,15.25,21.1,57.22,0.0,38.71
1950-04,27.66,0.23,0.02,19.6,26.6,41.02,0.26,16.98
1950-05,70.18,0.66,0.15,23.49,29.38,47.42,5.16,42.97
1950-06,135.93,1.74,0.31,24.28,28.58,60.28,8.03,64.23
1950-07,350.83,4.89,1.04,22.95,25.44,79.81,1.92,147.16
1950-08,240.99,2.89,0.61,22.39,25.07,80.25,0.58,114.13
1950-09,157.7,1.43,0.2,21.22,24.36,80.25,0.33,76.35
1950-10,137.58,1.19,0.06,18.22,21.98,77.57,0.0,56.5
1950-11,89.68,1.18,0.32,14.01,18.65,72.17,0.0,60.83
1950-12,53.53,0.47,0.04,12.03,16.6,71.94,0.0,29.41
1951-01,52.08,0.46,0.05,10.87,15.82,69.67,0.0,25.87
1951-02,19.17,0.21,0.01,11.95,18.3,56.23,0.0,16.95
1951-03,75.72,0.79,0.04,15.94,21.79,55.73,0.0,38.36
1951-04,62.78,0.56,0.07,18.52,24.55,54.13,0.17,32.58
1951-05,87.96,0.83,0.05,22.56,28.07,53.17,2.48,43.96
1951-06,154.93,1.99,0.42,23.7,27.87,63.63,6.27,72.69
1951-07,243.87,3.06,0.6,23.29,26.41,74.19,4.67,104.3
1951-08,231.9,2.48,0.51,22.79,25.32,81.42,0.93,101.38
1951-09,140.39,1.41,0.18,21.74,25.28,75.83,0.39,72.78
1951-10,101.73,0.97,0.11,19.9,24.03,72.49,0.04,58.31
1951-11,53.16,0.41,0.04,15.62,20.41,67.71,0.0,30.69
1951-12,11.15,0.07,0.01,11.06,17.0,57.69,0.0,10.62
1952-01,32.09,0.35,0.01,11.63,17.2,61.35,0.0,25.53
1952-02,51.59,0.6,0.02,12.88,18.7,59.42,0.0,29.42
1952-03,55.67,0.55,0.05,15.02,21.43,52.61,0.0,27.98
1952-04,72.65,0.72,0.06,19.89,25.71,53.99,0.31,37.32
1952-05,92.4,0.86,0.04,22.65,27.96,56.21,2.74,44.82
1952-06,187.93,2.38,0.47,23.36,27.27,67.91,5.52,86.36
1952-07,281.13,3.59,0.71,23.11,25.93,78.27,2.55,122.7
1952-08,253.18,2.77,0.42,22.46,24.9,82.81,0.31,97.15
1952-09,106.71,0.88,0.08,21.56,25.12,73.99,0.02,45.89
1952-10,71.87,0.76,0.16,18.86,23.77,62.86,0.0,47.0
1952-11,15.26,0.15,0.04,14.45,20.53,50.75,0.0,13.64
1952-12,49.86,0.47,0.02,11.47,16.79,59.32,0.0,25.56
