Month,rx5day_true,rx5day_pred,label_true,label_pred,label_true_txt,label_pred_txt
2012-08-01,75.48999786376953,78.963455,1,1,Slight flood,Slight flood
2012-09-01,70.5,93.50891,1,1,Slight flood,Slight flood
2012-10-01,89.83999633789062,86.225136,1,1,Slight flood,Slight flood
2012-11-01,110.11000061035156,104.47418,2,2,Flood,Flood
2012-12-01,113.16000366210938,113.71291,2,2,Flood,Flood
2013-01-01,106.4800033569336,104.787155,2,2,Flood,Flood
2013-02-01,119.83999633789062,103.58098,2,2,Flood,Flood
2013-03-01,92.69999694824219,97.16681,1,1,Slight flood,Slight flood
2013-04-01,119.11000061035156,95.70395,2,1,Flood,Slight flood
2013-05-01,101.69999694824219,96.311646,2,1,Flood,Slight flood
2013-06-01,87.6500015258789,93.27281,1,1,Slight flood,Slight flood
2013-07-01,101.43000030517578,83.686165,2,1,Flood,Slight flood
2013-08-01,76.13999938964844,89.22789,1,1,Slight flood,Slight flood
2013-09-01,88.69999694824219,98.27568,1,1,Slight flood,Slight flood
2013-10-01,86.70999908447266,93.67694,1,1,Slight flood,Slight flood
2013-11-01,108.25,96.66046,2,1,Flood,Slight flood
2013-12-01,129.8800048828125,110.52598,2,2,Flood,Flood
2014-01-01,97.6500015258789,107.09538,1,2,Slight flood,Flood
2014-02-01,82.66000366210938,99.46048,1,1,Slight flood,Slight flood
2014-03-01,91.16000366210938,91.432365,1,1,Slight flood,Slight flood
2014-04-01,97.83000183105469,94.0134,1,1,Slight flood,Slight flood
2014-05-01,87.97000122070312,91.55891,1,1,Slight flood,Slight flood
2014-06-01,84.6500015258789,81.4313,1,1,Slight flood,Slight flood
2014-07-01,63.91999816894531,74.27611,1,1,Slight flood,Slight flood
2014-08-01,82.81999969482422,76.862885,1,1,Slight flood,Slight flood
2014-09-01,61.34000015258789,81.06146,1,1,Slight flood,Slight flood
2014-10-01,67.70999908447266,89.67105,1,1,Slight flood,Slight flood
2014-11-01,105.01000213623047,90.2495,2,1,Flood,Slight flood
2014-12-01,115.98999786376953,110.918915,2,2,Flood,Flood
2015-01-01,103.27999877929688,110.798195,2,2,Flood,Flood
2015-02-01,98.51000213623047,99.19759,1,1,Slight flood,Slight flood
2015-03-01,96.33999633789062,92.93847,1,1,Slight flood,Slight flood
2015-04-01,97.13999938964844,92.160805,1,1,Slight flood,Slight flood
2015-05-01,80.58999633789062,93.198364,1,1,Slight flood,Slight flood
