Month,rx5day_true,rx5day_pred,label_true,label_pred,label_true_txt,label_pred_txt
2012-09-01,70.5,85.108,1,1,Slight flood,Slight flood
2012-10-01,89.83999633789062,90.24057,1,1,Slight flood,Slight flood
2012-11-01,110.11000061035156,101.59271,2,2,Flood,Flood
2012-12-01,113.16000366210938,107.607025,2,2,Flood,Flood
2013-01-01,106.4800033569336,113.71351,2,2,Flood,Flood
2013-02-01,119.83999633789062,111.48253,2,2,Flood,Flood
2013-03-01,92.69999694824219,105.07794,1,2,Slight flood,Flood
2013-04-01,119.11000061035156,96.76806,2,1,Flood,Slight flood
2013-05-01,101.69999694824219,100.69679,2,2,Flood,Flood
2013-06-01,87.6500015258789,93.63176,1,1,Slight flood,Slight flood
2013-07-01,101.43000030517578,87.4509,2,1,Flood,Slight flood
2013-08-01,76.13999938964844,87.21554,1,1,Slight flood,Slight flood
2013-09-01,88.69999694824219,98.17092,1,1,Slight flood,Slight flood
2013-10-01,86.70999908447266,99.06001,1,1,Slight flood,Slight flood
2013-11-01,108.25,94.25302,2,1,Flood,Slight flood
2013-12-01,129.8800048828125,101.32623,2,2,Flood,Flood
2014-01-01,97.6500015258789,110.204285,1,2,Slight flood,Flood
2014-02-01,82.66000366210938,102.01626,1,2,Slight flood,Flood
2014-03-01,91.16000366210938,94.73239,1,1,Slight flood,Slight flood
2014-04-01,97.83000183105469,88.48548,1,1,Slight flood,Slight flood
2014-05-01,87.97000122070312,83.61705,1,1,Slight flood,Slight flood
2014-06-01,84.6500015258789,80.92707,1,1,Slight flood,Slight flood
2014-07-01,63.91999816894531,73.2724,1,1,Slight flood,Slight flood
2014-08-01,82.81999969482422,72.84391,1,1,Slight flood,Slight flood
2014-09-01,61.34000015258789,79.85269,1,1,Slight flood,Slight flood
2014-10-01,67.70999908447266,91.32379,1,1,Slight flood,Slight flood
2014-11-01,105.01000213623047,98.9469,2,1,Flood,Slight flood
2014-12-01,115.98999786376953,120.420456,2,2,Flood,Flood
2015-01-01,103.27999877929688,116.35693,2,2,Flood,Flood
2015-02-01,98.51000213623047,96.634224,1,1,Slight flood,Slight flood
2015-03-01,96.33999633789062,98.43959,1,1,Slight flood,Slight flood
2015-04-01,97.13999938964844,96.240364,1,1,Slight flood,Slight flood
2015-05-01,80.58999633789062,95.38045,1,1,Slight flood,Slight flood
2015-06-01,86.54000091552734,80.46428,1,1,Slight flood,Slight flood
2015-07-01,56.869998931884766,65.302986,1,1,Slight flood,Slight flood
2015-08-01,44.900001525878906,65.06485,0,1,Non-flood,Slight flood
2015-09-01,46.93000030517578,64.044785,0,1,Non-flood,Slight flood
2015-10-01,62.7599983215332,69.75132,1,1,Slight flood,Slight flood
2015-11-01,95.81999969482422,68.99841,1,1,Slight flood,Slight flood
2015-12-01,103.47000122070312,101.623985,2,2,Flood,Flood
2016-01-01,109.22000122070312,98.77012,2,1,Flood,Slight flood
2016-02-01,132.14999389648438,90.4744,2,1,Flood,Slight flood
2016-03-01,107.72000122070312,96.68022,2,1,Flood,Slight flood
2016-04-01,109.16999816894531,112.62474,2,2,Flood,Flood
2016-05-01,98.81999969482422,116.80243,1,2,Slight flood,Flood
2016-06-01,90.62000274658203,101.332016,1,2,Slight flood,Flood
