Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1950-01,211.84,2.0,0.17,82.82,21.53,24.34,0.05,81.05
1950-02,274.25,3.13,0.27,86.96,21.53,24.06,0.0,94.92
1950-03,255.96,2.11,0.16,87.11,21.75,24.36,0.0,83.27
1950-04,295.23,2.86,0.23,88.42,21.82,24.28,0.0,94.1
1950-05,198.94,1.01,0.11,87.75,21.82,24.37,0.0,69.23
1950-06,208.07,1.31,0.19,87.6,21.57,24.11,0.0,67.07
1950-07,210.3,1.29,0.19,86.65,20.86,23.5,0.0,62.36
1950-08,273.14,2.51,0.32,86.91,20.95,23.44,0.01,88.27
1950-09,246.26,2.14,0.22,86.08,21.28,23.91,0.1,81.06
1950-10,244.11,1.93,0.12,86.65,21.37,24.01,0.04,79.47
1950-11,279.92,2.37,0.17,88.27,21.44,23.83,0.0,83.89
1950-12,249.22,2.12,0.16,87.44,21.37,23.74,0.0,78.72
1951-01,252.69,2.12,0.13,87.41,21.16,23.62,0.0,78.28
1951-02,275.31,2.81,0.18,87.78,21.32,23.78,0.0,88.13
1951-03,231.31,2.19,0.23,86.33,21.45,24.15,0.0,75.81
1951-04,220.91,1.6,0.12,87.18,21.72,24.32,0.0,72.47
1951-05,144.72,0.58,0.11,85.67,21.81,24.41,0.0,48.95
1951-06,153.71,0.76,0.11,86.21,21.52,24.18,0.0,54.51
1951-07,174.5,1.12,0.09,85.64,21.0,23.53,0.0,59.48
1951-08,127.2,0.72,0.07,82.37,21.22,24.1,0.01,46.83
1951-09,168.61,1.38,0.17,82.22,21.48,24.3,0.13,63.51
1951-10,161.12,1.21,0.1,81.12,21.64,24.67,0.57,58.68
1951-11,230.02,1.78,0.16,84.99,22.04,24.72,0.33,80.09
1951-12,272.74,2.2,0.14,87.98,21.81,24.24,0.0,82.41
1952-01,309.6,3.8,0.36,87.64,21.85,24.21,0.0,113.66
1952-02,310.64,4.04,0.37,88.21,21.92,24.24,0.0,106.41
1952-03,330.39,3.44,0.29,88.85,21.85,24.21,0.0,97.63
1952-04,229.16,1.8,0.14,87.57,21.88,24.45,0.0,80.1
1952-05,209.71,1.1,0.12,87.92,22.17,24.66,0.0,63.81
1952-06,152.68,0.79,0.13,85.55,21.58,24.29,0.0,51.43
1952-07,172.8,1.15,0.16,84.67,21.18,23.9,0.0,58.66
1952-08,173.49,1.17,0.13,83.79,21.22,24.03,0.01,60.56
1952-09,201.36,1.71,0.16,83.78,21.28,24.17,0.06,68.8
1952-10,242.41,2.17,0.14,85.15,21.79,24.53,0.1,84.17
1952-11,283.38,2.4,0.21,87.66,21.7,24.19,0.01,86.46
1952-12,210.81,1.31,0.13,86.95,21.59,24.15,0.0,74.42
1953-01,240.56,1.92,0.22,86.93,21.55,24.09,0.0,80.1
1953-02,209.26,1.56,0.14,86.78,21.45,24.03,0.0,74.83
1953-03,264.04,2.12,0.2,87.54,21.74,24.26,0.0,82.01
1953-04,218.37,1.4,0.1,87.66,22.03,24.6,0.0,71.22
1953-05,225.45,1.19,0.15,87.76,21.9,24.33,0.0,69.37
1953-06,162.71,0.82,0.13,86.59,21.86,24.31,0.0,53.92
1953-07,197.52,1.2,0.13,86.16,21.12,23.65,0.0,59.96
1953-08,128.44,0.85,0.16,82.57,21.24,24.12,0.01,48.57
1953-09,182.21,1.51,0.17,81.59,21.31,24.26,0.16,65.19
