Month,rx5day_true,rx5day_pred,label_true,label_pred,label_true_txt,label_pred_txt
2012-12-01,113.16000366210938,111.75037,2,2,Flood,Flood
2013-01-01,106.4800033569336,116.86094,2,2,Flood,Flood
2013-02-01,119.83999633789062,106.674484,2,2,Flood,Flood
2013-03-01,92.69999694824219,98.95986,1,1,Slight flood,Slight flood
2013-04-01,119.11000061035156,97.64765,2,1,Flood,Slight flood
2013-05-01,101.69999694824219,101.65194,2,2,Flood,Flood
2013-06-01,87.6500015258789,99.14846,1,1,Slight flood,Slight flood
2013-07-01,101.43000030517578,84.722244,2,1,Flood,Slight flood
2013-08-01,76.13999938964844,90.35727,1,1,Slight flood,Slight flood
2013-09-01,88.69999694824219,99.19471,1,1,Slight flood,Slight flood
2013-10-01,86.70999908447266,92.91195,1,1,Slight flood,Slight flood
2013-11-01,108.25,92.882774,2,1,Flood,Slight flood
2013-12-01,129.8800048828125,106.279366,2,2,Flood,Flood
2014-01-01,97.6500015258789,114.6905,1,2,Slight flood,Flood
2014-02-01,82.66000366210938,100.41869,1,2,Slight flood,Flood
2014-03-01,91.16000366210938,86.748825,1,1,Slight flood,Slight flood
2014-04-01,97.83000183105469,85.899124,1,1,Slight flood,Slight flood
2014-05-01,87.97000122070312,91.32009,1,1,Slight flood,Slight flood
2014-06-01,84.6500015258789,86.8401,1,1,Slight flood,Slight flood
2014-07-01,63.91999816894531,78.62187,1,1,Slight flood,Slight flood
2014-08-01,82.81999969482422,73.64338,1,1,Slight flood,Slight flood
2014-09-01,61.34000015258789,81.14452,1,1,Slight flood,Slight flood
2014-10-01,67.70999908447266,87.0533,1,1,Slight flood,Slight flood
2014-11-01,105.01000213623047,98.82965,2,1,Flood,Slight flood
2014-12-01,115.98999786376953,119.115685,2,2,Flood,Flood
2015-01-01,103.27999877929688,123.857285,2,2,Flood,Flood
2015-02-01,98.51000213623047,101.9928,1,2,Slight flood,Flood
2015-03-01,96.33999633789062,91.29441,1,1,Slight flood,Slight flood
2015-04-01,97.13999938964844,94.87837,1,1,Slight flood,Slight flood
2015-05-01,80.58999633789062,97.37358,1,1,Slight flood,Slight flood
2015-06-01,86.54000091552734,82.72503,1,1,Slight flood,Slight flood
2015-07-01,56.869998931884766,70.79804,1,1,Slight flood,Slight flood
2015-08-01,44.900001525878906,67.73326,0,1,Non-flood,Slight flood
2015-09-01,46.93000030517578,67.069466,0,1,Non-flood,Slight flood
2015-10-01,62.7599983215332,69.653694,1,1,Slight flood,Slight flood
2015-11-01,95.81999969482422,81.35399,1,1,Slight flood,Slight flood
2015-12-01,103.47000122070312,111.994125,2,2,Flood,Flood
2016-01-01,109.22000122070312,112.26849,2,2,Flood,Flood
2016-02-01,132.14999389648438,98.20154,2,1,Flood,Slight flood
2016-03-01,107.72000122070312,103.6157,2,2,Flood,Flood
2016-04-01,109.16999816894531,116.606445,2,2,Flood,Flood
2016-05-01,98.81999969482422,111.64334,1,2,Slight flood,Flood
2016-06-01,90.62000274658203,97.611534,1,1,Slight flood,Slight flood
2016-07-01,89.20999908447266,83.54239,1,1,Slight flood,Slight flood
2016-08-01,76.18000030517578,84.73335,1,1,Slight flood,Slight flood
2016-09-01,102.11000061035156,87.15649,2,1,Flood,Slight flood
2016-10-01,113.12000274658203,99.07343,2,1,Flood,Slight flood
2016-11-01,107.37000274658203,116.01317,2,2,Flood,Flood
2016-12-01,105.04000091552734,116.27416,2,2,Flood,Flood
2017-01-01,107.33999633789062,102.598625,2,2,Flood,Flood
2017-02-01,122.02999877929688,99.525185,2,1,Flood,Slight flood
2017-03-01,107.61000061035156,97.91199,2,1,Flood,Slight flood
2017-04-01,108.62999725341797,104.16545,2,2,Flood,Flood
2017-05-01,103.80999755859375,103.69607,2,2,Flood,Flood
2017-06-01,91.95999908447266,94.221245,1,1,Slight flood,Slight flood
2017-07-01,83.33000183105469,87.44627,1,1,Slight flood,Slight flood
2017-08-01,80.76000213623047,86.42135,1,1,Slight flood,Slight flood
2017-09-01,98.79000091552734,90.42779,1,1,Slight flood,Slight flood
2017-10-01,96.41000366210938,98.82312,1,1,Slight flood,Slight flood
2017-11-01,120.20999908447266,106.85383,2,2,Flood,Flood
2017-12-01,103.75,117.8641,2,2,Flood,Flood
2018-01-01,106.68000030517578,102.994316,2,2,Flood,Flood
2018-02-01,93.5199966430664,95.725555,1,1,Slight flood,Slight flood
2018-03-01,106.12000274658203,94.22918,2,1,Flood,Slight flood
2018-04-01,99.91000366210938,97.20399,1,1,Slight flood,Slight flood
2018-05-01,92.45999908447266,96.622665,1,1,Slight flood,Slight flood
2018-06-01,83.44000244140625,88.85874,1,1,Slight flood,Slight flood
2018-07-01,70.9000015258789,79.81021,1,1,Slight flood,Slight flood
2018-08-01,59.66999816894531,75.46234,1,1,Slight flood,Slight flood
2018-09-01,73.45999908447266,74.09189,1,1,Slight flood,Slight flood
2018-10-01,94.23999786376953,81.01591,1,1,Slight flood,Slight flood
2018-11-01,110.55000305175781,103.90016,2,2,Flood,Flood
2018-12-01,103.5,121.50842,2,2,Flood,Flood
2019-01-01,94.02999877929688,110.49741,1,2,Slight flood,Flood
2019-02-01,97.87999725341797,94.66409,1,1,Slight flood,Slight flood
2019-03-01,106.30000305175781,89.72757,2,1,Flood,Slight flood
2019-04-01,116.7300033569336,94.62827,2,1,Flood,Slight flood
2019-05-01,91.0199966430664,100.219124,1,2,Slight flood,Flood
2019-06-01,97.05000305175781,87.85195,1,1,Slight flood,Slight flood
2019-07-01,53.779998779296875,81.49911,1,1,Slight flood,Slight flood
2019-08-01,51.439998626708984,75.278984,1,1,Slight flood,Slight flood
2019-09-01,64.2300033569336,73.62096,1,1,Slight flood,Slight flood
2019-10-01,79.94999694824219,74.017494,1,1,Slight flood,Slight flood
2019-11-01,69.72000122070312,99.118706,1,1,Slight flood,Slight flood
2019-12-01,102.0199966430664,104.32313,2,2,Flood,Flood
2020-01-01,99.45999908447266,107.75736,1,2,Slight flood,Flood
2020-02-01,105.76000213623047,100.51964,2,2,Flood,Flood
2020-03-01,118.83000183105469,94.90021,2,1,Flood,Slight flood
2020-04-01,128.22999572753906,108.32256,2,2,Flood,Flood
2020-05-01,111.94999694824219,112.98487,2,2,Flood,Flood
2020-06-01,94.19999694824219,100.77414,1,2,Slight flood,Flood
2020-07-01,86.75,92.35563,1,1,Slight flood,Slight flood
2020-08-01,74.83999633789062,93.33281,1,1,Slight flood,Slight flood
2020-09-01,95.4000015258789,89.589485,1,1,Slight flood,Slight flood
2020-10-01,109.2300033569336,96.35995,2,1,Flood,Slight flood
2020-11-01,110.70999908447266,108.357834,2,2,Flood,Flood
2020-12-01,101.36000061035156,116.64809,2,2,Flood,Flood
2021-01-01,115.13999938964844,107.04249,2,2,Flood,Flood
2021-02-01,82.20999908447266,101.5351,1,2,Slight flood,Flood
2021-03-01,117.41000366210938,91.302376,2,1,Flood,Slight flood
2021-04-01,94.41999816894531,98.70203,1,1,Slight flood,Slight flood
2021-05-01,104.0199966430664,97.23691,2,1,Flood,Slight flood
2021-06-01,80.75,90.902954,1,1,Slight flood,Slight flood
2021-07-01,92.08999633789062,84.63105,1,1,Slight flood,Slight flood
2021-08-01,94.19000244140625,84.35836,1,1,Slight flood,Slight flood
2021-09-01,106.31999969482422,92.98829,2,1,Flood,Slight flood
2021-10-01,98.05999755859375,105.654724,1,2,Slight flood,Flood
2021-11-01,114.87000274658203,109.76677,2,2,Flood,Flood
2021-12-01,110.33999633789062,115.17138,2,2,Flood,Flood
2022-01-01,94.4000015258789,108.56041,1,2,Slight flood,Flood
2022-02-01,119.4800033569336,96.88164,2,1,Flood,Slight flood
2022-03-01,105.08000183105469,98.87752,2,1,Flood,Slight flood
2022-04-01,93.75,106.778076,1,2,Slight flood,Flood
2022-05-01,92.41999816894531,100.79151,1,2,Slight flood,Flood
2022-06-01,87.0199966430664,90.50357,1,1,Slight flood,Slight flood
2022-07-01,95.77999877929688,85.68345,1,1,Slight flood,Slight flood
2022-08-01,94.62000274658203,87.73674,1,1,Slight flood,Slight flood
2022-09-01,97.18000030517578,96.409874,1,1,Slight flood,Slight flood
2022-10-01,109.5199966430664,107.26379,2,2,Flood,Flood
2022-11-01,109.94999694824219,114.76823,2,2,Flood,Flood
2022-12-01,108.0,115.2878,2,2,Flood,Flood
2023-01-01,101.91000366210938,102.40367,2,2,Flood,Flood
2023-02-01,101.12000274658203,97.036545,2,1,Flood,Slight flood
2023-03-01,111.97000122070312,96.00481,2,1,Flood,Slight flood
2023-04-01,91.0999984741211,98.46211,1,1,Slight flood,Slight flood
2023-05-01,92.45999908447266,95.470634,1,1,Slight flood,Slight flood
2023-06-01,78.72000122070312,84.10085,1,1,Slight flood,Slight flood
2023-07-01,80.88999938964844,75.70414,1,1,Slight flood,Slight flood
2023-08-01,56.470001220703125,74.91063,1,1,Slight flood,Slight flood
2023-09-01,68.16000366210938,74.17963,1,1,Slight flood,Slight flood
2023-10-01,65.18000030517578,86.44552,1,1,Slight flood,Slight flood
2023-11-01,100.7300033569336,96.9837,2,1,Flood,Slight flood
2023-12-01,111.22000122070312,121.11442,2,2,Flood,Flood
