Month,pr,r20mm,r50mm,hurs,tasmax,tas,hd35,rx5day
1950-01,118.41,0.52,0.04,82.65,28.08,23.89,0.0,47.14
1950-02,171.55,1.76,0.23,84.97,28.43,24.11,0.01,73.02
1950-03,181.17,0.77,0.01,85.37,29.31,24.67,0.03,61.47
1950-04,262.1,1.82,0.05,88.62,29.01,24.63,0.0,75.31
1950-05,184.22,0.61,0.02,88.13,29.2,24.96,0.0,59.54
1950-06,204.35,0.76,0.05,88.29,29.28,24.84,0.0,61.5
1950-07,204.74,0.87,0.04,87.57,28.96,24.4,0.0,59.85
1950-08,275.65,1.96,0.04,88.3,28.61,24.19,0.0,82.89
1950-09,259.95,1.69,0.07,88.72,28.93,24.37,0.0,81.32
1950-10,218.39,1.01,0.05,87.95,28.66,24.21,0.0,69.18
1950-11,225.81,1.32,0.03,89.2,28.01,23.81,0.0,65.17
1950-12,186.43,1.32,0.08,87.47,27.41,23.52,0.0,66.49
1951-01,195.26,1.34,0.09,86.88,27.44,23.49,0.0,75.53
1951-02,181.79,1.23,0.02,86.08,28.05,23.84,0.0,61.83
1951-03,99.53,0.39,0.01,81.56,29.3,24.66,0.0,36.56
1951-04,197.81,1.19,0.01,85.52,29.37,24.88,0.03,60.74
1951-05,122.11,0.15,0.02,83.96,29.44,25.13,0.0,39.23
1951-06,128.27,0.31,0.0,84.22,29.58,25.11,0.0,46.38
1951-07,187.05,1.01,0.05,85.83,28.79,24.41,0.0,62.55
1951-08,153.86,0.61,0.01,84.31,29.47,24.9,0.0,57.42
1951-09,198.31,1.03,0.01,85.73,28.83,24.54,0.0,60.32
1951-10,211.25,1.16,0.06,86.57,28.82,24.48,0.0,68.55
1951-11,197.48,0.9,0.05,87.48,28.98,24.64,0.0,62.56
1951-12,227.86,1.29,0.03,88.25,28.21,24.16,0.0,69.67
1952-01,218.43,2.21,0.25,86.79,28.15,24.23,0.0,92.96
1952-02,195.44,1.65,0.2,86.23,28.51,24.43,0.0,77.99
1952-03,226.29,1.37,0.02,87.33,29.34,24.8,0.0,64.2
1952-04,204.19,1.07,0.04,87.67,29.53,24.99,0.0,70.16
1952-05,188.26,0.5,0.01,87.64,29.59,25.27,0.0,53.04
1952-06,122.01,0.16,0.01,85.59,29.6,25.23,0.0,40.64
1952-07,150.21,0.58,0.01,85.58,29.12,24.76,0.0,54.03
1952-08,156.08,0.55,0.01,84.21,29.25,24.77,0.0,56.82
1952-09,229.36,1.81,0.04,86.56,29.07,24.55,0.0,73.98
1952-10,299.35,2.32,0.09,89.41,28.8,24.41,0.0,87.88
1952-11,264.91,1.57,0.12,89.25,28.33,24.02,0.0,72.05
1952-12,181.07,1.05,0.09,87.14,27.97,23.88,0.0,66.68
1953-01,178.74,1.02,0.06,86.6,27.94,23.91,0.0,61.97
1953-02,187.28,1.23,0.1,86.68,28.39,24.05,0.0,69.8
1953-03,181.77,1.0,0.03,86.01,29.15,24.65,0.0,62.33
1953-04,198.09,1.14,0.06,86.46,29.8,25.16,0.0,59.46
1953-05,233.88,0.85,0.05,88.53,29.37,25.05,0.01,63.55
1953-06,170.12,0.4,0.0,88.2,29.31,25.05,0.0,50.96
1953-07,215.34,0.84,0.02,87.98,28.79,24.38,0.0,58.33
1953-08,131.37,0.27,0.0,85.21,29.59,25.0,0.0,46.27
1953-09,226.59,1.44,0.05,86.94,28.91,24.48,0.0,71.89
1953-10,266.8,1.66,0.13,87.86,29.06,24.51,0.0,75.97
1953-11,205.74,0.93,0.04,88.01,28.86,24.51,0.0,63.3
1953-12,202.31,0.96,0.07,87.61,28.38,24.21,0.0,65.14
1954-01,224.19,1.41,0.09,87.73,28.29,24.03,0.0,65.93
1954-02,174.18,0.98,0.07,86.33,28.53,24.13,0.0,61.74
1954-03,262.88,2.26,0.14,87.31,28.85,24.4,0.02,90.61
1954-04,325.24,3.48,0.17,89.73,28.94,24.59,0.0,91.54
1954-05,218.76,0.8,0.06,88.72,29.2,24.82,0.0,63.29
1954-06,255.82,1.56,0.09,89.33,28.82,24.56,0.0,75.5
1954-07,276.39,2.18,0.07,89.48,28.3,24.01,0.0,86.78
1954-08,222.4,0.96,0.01,88.12,28.95,24.42,0.0,67.66
1954-09,255.55,1.88,0.05,88.87,28.43,24.13,0.0,79.37
1954-10,356.65,3.39,0.11,90.07,28.2,23.8,0.0,91.55
1954-11,263.91,1.72,0.03,89.37,28.0,23.68,0.0,78.88
1954-12,273.63,3.0,0.2,88.89,27.71,23.59,0.0,95.34
1955-01,340.06,4.15,0.26,89.46,27.47,23.43,0.0,104.14
1955-02,180.29,1.33,0.04,86.5,28.33,23.98,0.04,62.11
1955-03,170.17,0.87,0.1,84.63,29.22,24.52,0.22,60.63
1955-04,260.57,1.87,0.07,88.15,29.47,24.69,0.09,78.23
1955-05,204.14,1.23,0.01,87.2,29.88,25.29,0.0,68.83
1955-06,215.89,1.73,0.05,87.85,29.28,24.75,0.01,73.31
1955-07,208.7,1.33,0.04,86.55,29.19,24.48,0.0,69.5
1955-08,281.62,1.91,0.06,88.86,28.64,24.15,0.0,81.84
1955-09,288.55,2.37,0.21,88.87,28.87,24.3,0.0,93.39
1955-10,327.11,2.87,0.13,89.53,29.0,24.41,0.0,92.8
1955-11,302.26,2.93,0.36,89.56,28.48,24.18,0.0,111.95
1955-12,310.02,3.3,0.23,89.12,27.3,23.35,0.0,106.53
1956-01,263.8,2.48,0.18,88.37,27.45,23.34,0.0,90.76
1956-02,203.3,1.45,0.13,86.7,28.54,24.03,0.05,72.13
1956-03,197.12,1.34,0.06,85.47,29.33,24.58,0.07,66.15
1956-04,241.28,1.48,0.07,88.18,29.48,24.78,0.02,74.91
1956-05,276.25,1.74,0.1,89.13,29.38,24.77,0.0,75.15
1956-06,159.47,0.79,0.08,87.01,29.0,24.57,0.0,62.98
1956-07,205.52,1.46,0.09,87.22,28.75,24.26,0.0,74.1
1956-08,205.15,1.47,0.02,87.55,28.75,24.32,0.0,72.89
1956-09,317.87,3.37,0.3,88.97,28.69,24.2,0.0,110.84
1956-10,379.72,3.73,0.2,90.69,28.11,23.92,0.0,99.06
1956-11,363.53,3.81,0.42,90.7,27.87,23.83,0.0,118.97
1956-12,347.36,3.89,0.15,90.44,27.18,23.39,0.0,99.76
1957-01,206.97,2.1,0.18,86.63,27.65,23.58,0.0,84.04
1957-02,147.98,0.99,0.07,85.02,28.52,23.95,0.0,64.8
1957-03,248.1,1.89,0.08,87.09,28.93,24.49,0.05,74.9
1957-04,241.97,1.73,0.07,88.31,29.3,24.83,0.0,81.66
1957-05,291.18,2.17,0.05,89.95,29.25,24.93,0.0,95.66
1957-06,190.85,1.56,0.16,87.87,29.45,25.12,0.0,87.42
1957-07,213.68,2.12,0.05,87.1,29.34,24.8,0.0,85.62
1957-08,159.11,0.88,0.01,86.32,29.31,24.81,0.0,61.57
1957-09,218.54,1.16,0.07,86.14,29.34,24.7,0.0,69.54
1957-10,264.69,1.98,0.07,87.34,29.14,24.46,0.0,86.57
1957-11,189.49,0.98,0.12,86.57,28.91,24.46,0.0,70.28
1957-12,323.01,3.29,0.38,88.56,28.35,24.23,0.0,87.53
1958-01,226.24,2.29,0.31,85.54,28.79,24.41,0.03,92.96
1958-02,144.47,0.75,0.11,83.81,29.24,24.59,0.11,55.11
1958-03,231.13,1.94,0.28,84.71,29.85,25.0,0.22,80.84
1958-04,163.28,0.84,0.12,83.14,30.65,25.69,0.5,55.38
1958-05,265.99,1.81,0.14,87.79,30.05,25.56,0.04,83.22
1958-06,176.1,1.27,0.02,85.95,30.11,25.49,0.02,64.33
1958-07,84.3,0.26,0.05,80.73,30.64,25.61,0.25,46.75
1958-08,303.45,3.27,0.23,88.15,29.07,24.58,0.0,98.83
1958-09,246.98,1.79,0.09,87.46,29.71,24.87,0.0,75.07
1958-10,361.7,3.85,0.29,90.05,28.8,24.47,0.0,113.21
1958-11,320.93,3.29,0.33,89.85,27.96,23.96,0.0,106.26
1958-12,219.97,1.67,0.24,86.99,28.17,24.05,0.0,78.09
1959-01,169.41,1.21,0.16,84.16,28.27,24.08,0.02,69.77
1959-02,121.51,0.81,0.12,81.39,29.61,24.86,0.23,57.14
1959-03,214.71,2.16,0.22,82.52,29.62,24.89,0.33,88.89
1959-04,257.69,1.78,0.12,86.83,29.44,24.86,0.0,79.04
1959-05,298.17,2.51,0.12,88.41,29.28,24.99,0.0,88.71
1959-06,248.42,1.92,0.04,87.82,29.13,24.81,0.0,81.57
1959-07,168.62,0.74,0.01,85.65,29.3,24.7,0.0,54.46
1959-08,167.9,0.6,0.0,85.6,29.11,24.52,0.0,53.8
1959-09,243.17,2.2,0.12,86.13,29.15,24.49,0.02,78.05
1959-10,277.03,2.43,0.21,87.28,28.91,24.42,0.0,89.14
1959-11,289.98,2.13,0.14,88.89,28.37,24.11,0.0,84.47
1959-12,194.58,1.27,0.07,86.66,28.44,24.14,0.0,73.34
1960-01,208.49,1.4,0.07,86.04,28.18,23.96,0.0,67.79
1960-02,187.97,1.57,0.17,84.8,28.58,24.17,0.14,72.73
1960-03,159.89,0.95,0.05,82.61,29.88,24.86,0.49,64.05
1960-04,251.85,1.67,0.1,86.74,29.65,24.94,0.04,73.6
1960-05,212.89,1.25,0.02,86.46,29.94,25.23,0.11,68.53
1960-06,140.63,0.56,0.01,84.68,29.96,25.17,0.09,49.25
1960-07,240.77,2.07,0.17,86.17,29.29,24.7,0.05,81.66
1960-08,170.21,0.74,0.01,84.71,30.14,25.25,0.04,62.51
1960-09,312.43,2.92,0.23,87.61,29.22,24.45,0.01,96.31
1960-10,217.34,1.16,0.02,86.37,29.46,24.71,0.02,69.72
1960-11,294.98,1.8,0.07,88.9,28.46,24.14,0.0,76.27
1960-12,245.13,2.01,0.12,87.3,28.3,24.09,0.0,83.64
1961-01,163.69,1.19,0.08,84.86,27.84,23.66,0.01,67.16
1961-02,192.46,1.7,0.18,84.46,28.86,24.35,0.09,75.14
1961-03,183.62,1.12,0.06,83.62,29.81,24.97,0.39,57.45
1961-04,253.89,1.82,0.09,86.43,29.81,25.1,0.18,76.58
1961-05,194.02,1.1,0.04,85.86,30.15,25.51,0.13,68.43
1961-06,167.11,1.25,0.08,84.63,29.62,24.92,0.13,78.3
1961-07,130.45,0.66,0.03,82.34,29.92,24.93,0.11,53.94
1961-08,131.8,0.5,0.0,83.64,29.71,24.93,0.09,49.0
1961-09,208.88,1.48,0.05,84.76,29.57,24.51,0.01,63.95
1961-10,220.39,1.21,0.01,85.94,29.3,24.34,0.02,71.57
1961-11,208.98,1.29,0.08,86.57,28.98,24.36,0.0,71.59
1961-12,316.96,2.84,0.23,88.38,28.23,24.02,0.0,92.51
1962-01,332.64,4.2,0.55,87.8,27.56,23.72,0.0,115.78
1962-02,178.79,1.4,0.08,84.35,28.25,23.92,0.09,70.12
1962-03,348.31,4.02,0.26,87.56,28.88,24.34,0.04,114.17
1962-04,256.39,2.69,0.24,86.3,29.64,24.88,0.15,102.04
1962-05,212.03,1.18,0.07,86.1,30.25,25.45,0.17,72.86
1962-06,200.89,1.33,0.04,85.23,29.79,24.92,0.11,67.31
1962-07,90.2,0.24,0.0,82.89,30.03,25.21,0.06,50.1
1962-08,258.38,2.2,0.05,85.95,29.12,24.4,0.03,76.44
1962-09,217.54,1.66,0.11,86.18,29.31,24.66,0.02,76.21
1962-10,263.5,2.11,0.23,86.69,29.34,24.71,0.0,95.56
1962-11,248.21,2.05,0.15,87.44,28.74,24.31,0.0,91.41
1962-12,262.94,2.29,0.19,87.72,28.09,24.0,0.0,88.15
1963-01,356.45,4.71,0.98,87.83,26.78,23.13,0.0,140.68
1963-02,256.4,2.79,0.32,85.51,27.67,23.53,0.06,83.27
1963-03,242.33,2.48,0.21,84.7,29.01,24.42,0.42,80.53
1963-04,115.57,0.46,0.05,80.09,30.64,25.45,2.52,41.65
1963-05,267.17,2.23,0.3,85.48,30.25,25.44,0.91,85.47
1963-06,111.12,0.2,0.0,83.13,30.42,25.44,0.14,39.19
1963-07,169.4,1.1,0.1,83.67,29.87,25.04,0.05,66.5
1963-08,207.8,1.03,0.05,85.83,29.51,24.77,0.04,60.91
1963-09,200.67,1.1,0.08,85.22,29.86,25.02,0.03,66.78
1963-10,290.39,2.31,0.1,87.5,29.11,24.45,0.02,86.49
1963-11,223.33,1.48,0.1,86.73,29.25,24.57,0.0,70.0
1963-12,211.12,1.42,0.07,86.29,28.75,24.3,0.0,74.4
1964-01,184.32,1.48,0.06,83.81,29.49,24.81,0.17,59.39
1964-02,236.04,2.31,0.1,84.69,28.92,24.62,0.21,86.14
1964-03,244.12,2.88,0.23,84.6,29.36,24.86,0.38,91.24
1964-04,230.03,1.64,0.1,84.44,30.35,25.44,0.81,67.78
1964-05,218.57,2.04,0.11,85.46,30.14,25.53,0.28,88.24
1964-06,153.28,0.8,0.0,84.64,29.75,24.95,0.2,59.6
1964-07,275.85,1.99,0.19,86.7,29.21,24.51,0.01,79.73
1964-08,131.23,0.4,0.02,83.06,29.8,24.87,0.09,51.67
1964-09,270.66,2.65,0.11,86.15,29.34,24.59,0.07,90.17
1964-10,264.9,1.71,0.03,87.11,28.94,24.34,0.08,74.38
1964-11,266.12,1.95,0.09,87.93,28.39,24.07,0.0,81.21
1964-12,250.02,1.85,0.16,87.28,27.64,23.48,0.0,80.78
1965-01,138.59,1.31,0.15,82.16,27.52,23.16,0.03,69.86
1965-02,182.66,1.49,0.12,83.9,28.61,23.99,0.09,76.72
1965-03,278.21,2.61,0.09,85.94,28.81,24.22,0.13,82.85
1965-04,239.86,1.26,0.06,86.93,29.3,24.59,0.0,76.02
1965-05,235.33,1.35,0.05,87.32,29.47,24.94,0.01,78.68
1965-06,156.4,0.51,0.02,85.3,29.74,24.93,0.02,49.74
1965-07,103.89,0.1,0.0,83.15,29.62,24.78,0.04,35.14
1965-08,258.06,2.31,0.15,86.11,28.98,24.32,0.02,85.51
1965-09,203.02,0.96,0.08,85.31,29.51,24.61,0.03,63.23
1965-10,275.0,2.56,0.12,86.86,29.22,24.5,0.01,90.12
1965-11,233.06,1.25,0.13,86.97,29.14,24.53,0.01,73.79
1965-12,297.94,2.94,0.23,87.93,28.37,24.14,0.0,97.17
1966-01,296.98,3.36,0.34,88.35,27.61,23.63,0.0,101.09
1966-02,201.58,1.72,0.14,86.47,28.33,24.06,0.0,82.16
1966-03,245.6,2.06,0.3,86.11,29.02,24.48,0.0,95.8
1966-04,238.2,1.8,0.08,86.62,29.53,25.03,0.01,71.03
1966-05,235.37,1.39,0.11,87.71,29.46,25.06,0.0,68.88
1966-06,248.84,1.91,0.11,88.54,28.63,24.35,0.0,79.06
1966-07,241.46,2.2,0.14,87.67,28.6,24.34,0.0,78.06
1966-08,327.48,3.55,0.41,88.15,28.66,24.36,0.0,104.59
1966-09,258.57,2.06,0.21,87.01,28.93,24.41,0.0,92.52
1966-10,369.64,3.94,0.24,89.88,28.02,23.9,0.0,101.04
1966-11,321.23,2.96,0.23,89.92,27.92,23.84,0.0,101.02
1966-12,325.92,2.89,0.31,90.08,27.55,23.61,0.0,99.06
1967-01,268.98,2.55,0.55,87.62,27.56,23.51,0.0,113.46
1967-02,230.54,3.16,0.55,84.72,27.89,23.73,0.01,103.11
1967-03,182.59,1.85,0.1,84.29,28.82,24.22,0.25,81.92
1967-04,229.85,1.53,0.07,86.08,29.58,24.67,0.05,72.3
1967-05,279.28,2.87,0.09,87.89,29.22,24.89,0.0,88.44
1967-06,199.21,1.83,0.29,85.77,29.36,24.91,0.01,96.62
1967-07,160.08,1.0,0.13,84.88,29.41,24.72,0.0,65.02
