Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1950-01,191.3,1.75,0.22,86.35,21.63,24.0,0.0,84.02
1950-02,139.97,1.53,0.12,84.25,21.51,24.21,0.0,68.78
1950-03,225.16,2.61,0.32,85.2,22.21,24.79,0.08,105.54
1950-04,143.27,1.0,0.04,82.68,22.9,25.73,0.29,48.32
1950-05,151.65,0.71,0.04,81.73,23.25,26.22,0.58,58.02
1950-06,215.6,1.65,0.07,84.96,23.23,25.85,0.09,71.54
1950-07,148.6,0.74,0.01,83.59,22.96,25.58,0.14,47.2
1950-08,164.35,1.13,0.15,82.63,22.9,25.63,0.25,73.91
1950-09,282.08,2.73,0.09,86.09,22.73,25.18,0.03,116.6
1950-10,221.35,1.74,0.37,85.67,22.49,24.99,0.0,98.66
1950-11,167.26,1.58,0.11,84.77,22.12,24.55,0.0,64.47
1950-12,153.98,1.42,0.23,83.15,21.24,23.5,0.0,87.58
1951-01,145.77,0.96,0.18,84.66,21.45,23.78,0.0,58.29
1951-02,112.81,0.67,0.04,83.03,21.48,23.97,0.02,46.54
1951-03,61.75,0.17,0.01,78.66,21.64,24.6,0.07,25.71
1951-04,111.59,0.36,0.0,80.7,22.92,25.82,0.44,39.87
1951-05,186.49,1.19,0.3,82.17,23.31,25.95,0.25,86.87
1951-06,194.92,1.7,0.1,82.63,23.3,25.91,0.31,70.82
1951-07,242.53,1.62,0.22,84.36,22.89,25.55,0.25,88.82
1951-08,219.93,2.26,0.08,84.69,23.21,25.66,0.08,93.99
1951-09,290.42,3.16,0.43,86.4,23.13,25.51,0.02,105.35
1951-10,181.96,1.04,0.02,85.63,22.88,25.49,0.01,62.89
1951-11,217.05,1.76,0.47,86.06,22.83,25.15,0.01,93.33
1951-12,235.61,2.45,0.54,85.85,22.2,24.31,0.0,97.38
1952-01,116.97,0.94,0.12,83.13,21.52,24.02,0.01,54.42
1952-02,146.32,1.79,0.3,82.3,21.76,24.25,0.02,74.13
1952-03,105.4,0.96,0.15,79.14,22.1,25.11,0.28,51.34
1952-04,98.38,0.53,0.01,78.2,22.95,26.09,0.79,38.8
1952-05,150.13,0.82,0.01,80.64,23.66,26.54,1.15,52.23
1952-06,225.56,2.24,0.06,83.14,23.53,26.1,0.88,90.45
1952-07,269.21,3.09,0.48,83.5,23.31,25.92,0.73,106.91
1952-08,292.98,3.51,0.35,85.77,22.93,25.29,0.0,102.26
1952-09,225.61,1.92,0.05,85.75,22.65,25.28,0.0,101.07
1952-10,332.2,3.2,0.91,86.39,22.95,25.27,0.0,134.62
1952-11,175.41,1.34,0.28,85.99,22.58,25.04,0.0,78.51
1952-12,308.98,3.6,0.92,86.74,22.2,24.33,0.0,132.47
1953-01,126.68,1.07,0.12,83.45,21.39,23.73,0.0,49.64
1953-02,128.83,0.96,0.02,83.52,21.86,24.18,0.01,51.97
1953-03,76.34,0.37,0.06,79.17,22.25,25.26,0.25,39.52
1953-04,88.81,0.33,0.03,78.97,23.23,26.21,0.69,36.98
1953-05,153.25,0.68,0.02,80.78,23.55,26.44,0.58,52.03
1953-06,212.5,1.76,0.42,83.27,23.48,25.98,0.17,95.88
1953-07,204.76,1.36,0.01,83.95,22.96,25.61,0.26,66.86
1953-08,245.33,2.3,0.12,85.62,23.25,25.57,0.07,84.72
1953-09,261.23,2.46,0.18,85.78,22.84,25.38,0.01,91.84
1953-10,163.42,1.03,0.12,84.94,22.94,25.58,0.01,66.76
1953-11,193.8,1.67,0.46,85.47,22.98,25.3,0.02,92.65
1953-12,230.78,2.58,0.64,85.47,22.25,24.35,0.0,127.14
1954-01,98.04,0.41,0.0,83.42,21.83,24.44,0.0,45.93
1954-02,124.34,0.91,0.13,83.2,21.86,24.49,0.05,53.56
1954-03,211.35,2.5,0.32,83.4,22.34,24.86,0.1,96.52
1954-04,103.77,0.47,0.01,80.54,23.02,26.12,0.85,39.65
1954-05,160.91,1.08,0.08,80.84,23.57,26.52,1.35,57.82
1954-06,219.23,1.59,0.04,82.56,23.36,26.17,1.28,63.72
1954-07,276.36,2.46,0.09,84.39,22.85,25.57,0.68,77.87
1954-08,344.21,4.22,0.41,85.94,23.09,25.56,0.08,116.19
1954-09,320.55,4.09,0.27,86.43,22.9,25.3,0.0,110.95
1954-10,250.43,1.6,0.03,86.51,22.5,25.05,0.0,78.42
1954-11,244.19,2.59,0.44,85.06,22.27,24.63,0.0,111.04
1954-12,272.32,3.19,0.78,85.08,21.79,24.01,0.0,132.68
1955-01,295.81,3.33,0.95,85.89,21.48,23.63,0.0,141.03
1955-02,82.75,0.46,0.01,82.33,21.37,24.04,0.0,44.86
1955-03,100.69,0.45,0.05,81.28,21.74,24.82,0.1,38.84
1955-04,114.9,0.52,0.0,79.96,22.86,25.86,0.6,41.18
1955-05,211.99,1.82,0.07,82.11,23.56,26.44,1.48,70.35
1955-06,245.2,2.09,0.07,84.41,23.07,25.62,0.42,76.35
1955-07,247.61,2.32,0.07,84.53,22.74,25.44,0.22,81.82
1955-08,281.91,2.98,0.09,85.47,22.76,25.45,0.06,85.33
1955-09,253.73,2.0,0.28,85.64,22.82,25.5,0.11,95.7
1955-10,297.76,2.99,0.15,86.91,22.66,25.13,0.0,95.13
1955-11,364.16,4.83,1.06,86.92,22.59,24.79,0.0,158.67
1955-12,152.75,1.38,0.13,83.49,20.96,23.35,0.0,91.86
1956-01,223.03,2.76,0.53,84.76,21.15,23.39,0.0,102.78
1956-02,146.47,1.24,0.05,83.66,21.39,23.95,0.0,65.38
1956-03,114.55,0.57,0.04,81.24,21.88,24.57,0.13,49.29
1956-04,255.99,3.03,0.5,84.4,22.79,25.36,0.07,118.03
1956-05,219.77,1.7,0.02,84.2,22.94,25.6,0.23,74.94
1956-06,229.94,2.68,0.13,84.31,22.85,25.62,0.25,88.6
1956-07,313.44,3.48,0.15,85.61,22.66,25.27,0.05,97.88
1956-08,411.15,6.08,0.69,86.92,22.73,25.0,0.01,146.73
1956-09,360.9,4.63,0.66,87.15,22.71,24.96,0.0,127.99
1956-10,256.28,2.25,0.18,86.72,22.48,24.97,0.0,88.67
1956-11,283.9,3.19,0.73,86.83,22.47,24.71,0.0,114.49
1956-12,410.62,5.69,1.28,87.97,22.12,23.89,0.0,179.55
1957-01,202.93,1.73,0.5,85.67,21.54,23.83,0.0,107.73
1957-02,85.74,0.63,0.04,82.27,21.06,23.72,0.0,39.95
1957-03,132.41,1.02,0.14,82.95,22.26,24.97,0.02,73.62
1957-04,166.72,1.61,0.41,82.18,22.8,25.59,0.13,92.15
1957-05,88.15,0.26,0.0,77.68,23.34,26.6,1.12,36.94
1957-06,290.44,3.35,0.19,84.6,23.49,25.97,0.37,109.28
1957-07,292.45,3.01,0.37,85.85,23.0,25.47,0.05,104.02
1957-08,293.27,3.34,0.3,85.62,23.23,25.57,0.08,104.03
1957-09,307.65,3.47,0.49,85.19,22.97,25.35,0.01,118.8
1957-10,192.68,1.75,0.24,84.26,22.64,25.26,0.01,86.64
