Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1950-01,8.51,0.03,0.02,56.66,16.45,22.97,0.3,5.62
1950-02,11.45,0.03,0.0,55.1,17.86,24.58,2.1,7.1
1950-03,57.15,0.18,0.0,60.57,21.24,27.1,9.5,25.96
1950-04,74.35,0.28,0.0,64.91,23.35,28.06,10.33,35.65
1950-05,130.61,0.65,0.0,75.26,23.75,27.18,3.64,51.54
1950-06,224.57,1.69,0.08,83.18,23.64,26.25,0.11,72.35
1950-07,156.76,0.65,0.01,80.62,23.19,26.0,0.41,51.28
1950-08,154.26,0.82,0.06,80.14,23.21,26.0,1.08,58.21
1950-09,305.56,2.87,0.25,87.84,23.0,25.53,0.0,98.13
1950-10,214.65,1.09,0.05,88.02,22.16,24.73,0.0,67.6
1950-11,107.05,0.39,0.03,83.47,20.47,23.91,0.0,49.18
1950-12,28.79,0.31,0.12,75.38,16.31,20.89,0.0,34.67
1951-01,25.07,0.09,0.0,68.61,17.18,22.34,0.0,17.5
1951-02,19.83,0.05,0.0,62.02,17.93,24.22,1.32,14.18
1951-03,25.14,0.09,0.0,58.77,20.89,26.74,7.6,19.78
1951-04,54.31,0.23,0.0,59.93,23.12,28.28,13.14,29.21
1951-05,114.38,0.59,0.01,72.61,23.64,27.32,4.43,70.08
1951-06,189.14,2.23,0.24,81.17,23.52,26.2,0.12,85.87
1951-07,166.15,1.48,0.08,80.0,23.14,26.09,0.43,81.58
1951-08,208.97,1.74,0.15,84.24,23.43,26.03,0.14,82.43
1951-09,215.64,2.03,0.26,86.21,23.05,25.88,0.0,94.67
1951-10,199.38,1.58,0.06,86.9,22.16,25.05,0.0,79.12
1951-11,95.06,0.27,0.0,83.33,21.06,24.44,0.0,40.94
1951-12,41.37,0.22,0.05,75.07,18.03,22.33,0.0,26.91
1952-01,13.98,0.05,0.0,61.07,17.16,23.15,0.06,6.73
1952-02,47.96,0.25,0.0,63.08,19.64,25.55,3.98,34.19
1952-03,215.03,2.59,0.18,78.67,21.16,25.77,3.53,90.22
1952-04,78.6,0.33,0.0,74.29,22.51,27.39,7.86,35.76
1952-05,157.89,0.74,0.0,78.3,23.97,27.57,4.87,56.02
1952-06,190.52,1.08,0.02,82.02,23.76,26.63,0.7,60.0
1952-07,161.45,1.27,0.09,80.17,23.57,26.26,1.08,67.82
1952-08,298.22,3.44,0.16,86.88,23.09,25.54,0.01,91.18
1952-09,263.81,2.78,0.06,87.31,22.83,25.47,0.03,75.15
1952-10,269.72,2.84,0.51,87.2,22.49,25.13,0.0,107.0
1952-11,76.94,0.5,0.05,81.8,20.39,23.98,0.0,35.68
1952-12,68.05,0.47,0.06,74.57,15.84,20.92,0.0,40.31
1953-01,210.0,3.2,0.63,80.61,17.62,22.2,0.0,156.07
1953-02,227.16,3.14,0.77,85.68,18.83,22.89,0.0,134.4
1953-03,160.6,1.29,0.1,84.19,20.5,25.14,0.59,73.47
1953-04,242.36,1.88,0.02,87.3,22.08,25.83,1.29,78.86
1953-05,191.39,0.93,0.0,86.28,22.91,26.21,0.24,60.53
1953-06,199.56,1.83,0.18,84.49,23.28,26.2,0.0,79.08
1953-07,143.38,1.36,0.1,80.34,22.86,26.01,0.12,70.04
1953-08,176.28,1.58,0.2,82.59,22.92,25.67,0.03,74.42
1953-09,238.93,1.71,0.03,86.88,22.4,25.36,0.0,77.1
1953-10,124.22,0.48,0.02,85.7,21.99,25.32,0.0,56.65
1953-11,241.92,2.81,0.26,86.02,20.1,23.21,0.0,88.48
1953-12,42.1,0.22,0.0,76.6,17.38,21.86,0.0,26.57
1954-01,23.81,0.01,0.0,66.85,18.48,23.94,0.13,10.35
1954-02,22.18,0.06,0.0,60.1,18.6,24.61,1.78,17.23
1954-03,41.52,0.25,0.0,58.04,20.25,26.05,5.51,25.66
1954-04,82.15,0.72,0.01,60.77,23.19,28.25,14.71,60.32
1954-05,175.82,0.93,0.02,82.26,23.61,26.77,1.32,64.48
1954-06,108.86,0.26,0.0,76.75,23.99,27.09,1.29,42.28
1954-07,147.4,0.68,0.01,78.13,23.48,26.58,0.84,53.16
1954-08,235.12,1.78,0.07,84.24,23.38,25.98,0.01,82.14
1954-09,326.02,4.33,0.34,87.98,22.93,25.39,0.0,120.1
1954-10,119.72,0.68,0.04,82.16,21.57,24.86,0.0,59.47
1954-11,18.7,0.06,0.0,66.69,18.79,23.61,0.0,12.31
1954-12,27.88,0.34,0.02,62.47,16.71,21.81,0.0,17.61
1955-01,19.53,0.05,0.0,58.15,14.96,21.09,0.17,12.92
1955-02,10.88,0.07,0.0,55.31,18.5,24.74,3.93,9.15
1955-03,36.05,0.15,0.0,56.46,20.97,26.83,10.43,24.23
1955-04,116.29,0.93,0.01,68.17,22.76,27.34,8.39,52.9
1955-05,194.22,1.12,0.03,80.36,23.91,27.32,3.56,83.42
1955-06,338.78,3.88,0.44,86.5,23.52,26.2,0.09,116.99
1955-07,184.04,0.82,0.04,84.41,23.37,26.34,0.08,62.35
1955-08,227.43,1.46,0.02,85.83,23.14,25.92,0.0,68.6
1955-09,261.81,1.94,0.17,87.75,22.9,25.84,0.02,77.1
1955-10,129.5,1.38,0.12,80.22,21.71,25.12,0.01,50.68
1955-11,86.1,0.96,0.05,72.16,19.1,23.06,0.0,39.86
1955-12,11.16,0.08,0.0,58.86,15.28,21.24,0.0,5.67
1956-01,11.55,0.02,0.0,56.05,15.13,21.64,0.01,6.63
1956-02,32.34,0.07,0.0,60.95,19.36,25.17,2.2,18.78
1956-03,31.21,0.05,0.0,55.8,21.72,27.53,12.13,18.13
1956-04,97.09,0.34,0.0,69.24,23.26,27.52,7.03,40.59
1956-05,244.22,1.37,0.02,83.84,23.3,26.42,0.44,69.23
1956-06,177.1,1.66,0.11,81.74,23.27,26.4,0.37,73.95
1956-07,235.58,1.73,0.1,84.94,23.06,25.89,0.08,84.58
1956-08,299.06,2.83,0.37,86.88,23.11,25.67,0.0,101.65
1956-09,305.16,3.58,0.3,87.44,22.79,25.53,0.0,104.87
1956-10,140.71,0.96,0.02,81.54,21.66,24.91,0.0,53.38
1956-11,78.34,1.0,0.07,71.52,18.61,22.73,0.0,50.41
1956-12,36.81,0.42,0.03,64.49,16.72,21.7,0.0,20.88
1957-01,10.25,0.01,0.0,57.46,16.67,22.93,0.29,6.19
1957-02,16.12,0.1,0.0,54.87,17.61,23.85,1.43,11.67
1957-03,79.91,0.54,0.02,63.56,20.86,26.35,7.52,44.76
1957-04,85.26,0.77,0.06,65.55,23.08,28.02,11.63,47.33
1957-05,121.14,0.97,0.08,66.54,24.49,28.59,12.52,70.75
1957-06,262.35,2.82,0.32,83.45,23.98,26.88,1.52,96.95
1957-07,255.43,2.81,0.13,85.23,23.39,26.26,0.28,88.33
1957-08,312.23,3.68,0.31,86.65,23.3,26.15,0.2,105.04
1957-09,364.84,4.86,0.4,87.11,23.08,25.73,0.0,116.14
1957-10,205.59,2.34,0.25,84.77,22.1,25.0,0.0,97.86
1957-11,40.21,0.02,0.0,78.94,20.36,24.47,0.0,19.42
1957-12,20.47,0.09,0.0,74.33,18.16,23.22,0.0,8.95
1958-01,36.02,0.33,0.01,70.83,17.58,23.13,0.01,25.86
1958-02,13.57,0.04,0.0,62.93,18.26,24.14,1.54,20.77
1958-03,13.45,0.01,0.0,51.91,22.15,28.12,16.1,8.82
1958-04,34.83,0.06,0.0,56.58,23.81,29.14,17.25,18.91
1958-05,115.53,0.77,0.03,68.18,24.69,28.67,10.98,58.05
1958-06,239.17,2.53,0.18,82.96,24.16,27.09,1.35,88.82
1958-07,251.78,2.89,0.18,84.7,23.67,26.3,0.36,88.28
1958-08,211.57,2.03,0.24,83.4,23.1,26.11,0.24,97.37
1958-09,309.26,4.2,0.47,87.12,22.92,25.6,0.0,122.8
1958-10,151.0,0.65,0.03,82.89,21.96,24.92,0.0,53.18
