Month,pr,rx5day,rx1day,r20mm,r50mm,hurs,tasmin,cdd
1950-01,26.12,16.52,9.36,0.36,0.03,54.02,11.7,22.87
1950-02,32.82,23.39,12.31,0.3,0.03,51.17,11.52,20.58
1950-03,76.44,38.71,19.05,0.74,0.03,57.22,15.25,15.56
1950-04,27.66,16.98,7.83,0.23,0.02,41.02,19.6,19.73
1950-05,70.18,42.97,18.65,0.66,0.15,47.42,23.49,18.35
1950-06,135.93,64.23,26.8,1.74,0.31,60.28,24.28,12.54
1950-07,350.83,147.16,64.54,4.89,1.04,79.81,22.95,8.18
1950-08,240.99,114.13,48.74,2.89,0.61,80.25,22.39,6.6
1950-09,157.7,76.35,30.79,1.43,0.2,80.25,21.22,6.58
1950-10,137.58,56.5,22.38,1.19,0.06,77.57,18.22,10.64
1950-11,89.68,60.83,28.5,1.18,0.32,72.17,14.01,15.47
1950-12,53.53,29.41,15.02,0.47,0.04,71.94,12.03,17.62
1951-01,52.08,25.87,14.51,0.46,0.05,69.67,10.87,14.05
1951-02,19.17,16.95,8.01,0.21,0.01,56.23,11.95,21.23
1951-03,75.72,38.36,18.41,0.79,0.04,55.73,15.94,26.41
1951-04,62.78,32.58,14.47,0.56,0.07,54.13,18.52,13.6
1951-05,87.96,43.96,17.57,0.83,0.05,53.17,22.56,14.64
1951-06,154.93,72.69,29.18,1.99,0.42,63.63,23.7,9.7
1951-07,243.87,104.3,45.79,3.06,0.6,74.19,23.29,8.26
1951-08,231.9,101.38,45.82,2.48,0.51,81.42,22.79,4.37
1951-09,140.39,72.78,31.68,1.41,0.18,75.83,21.74,10.3
1951-10,101.73,58.31,24.1,0.97,0.11,72.49,19.9,12.08
1951-11,53.16,30.69,16.06,0.41,0.04,67.71,15.62,16.29
1951-12,11.15,10.62,4.32,0.07,0.01,57.69,11.06,25.09
1952-01,32.09,25.53,12.39,0.35,0.01,61.35,11.63,20.39
1952-02,51.59,29.42,15.87,0.6,0.02,59.42,12.88,20.53
1952-03,55.67,27.98,15.28,0.55,0.05,52.61,15.02,16.95
1952-04,72.65,37.32,16.94,0.72,0.06,53.99,19.89,15.76
1952-05,92.4,44.82,17.93,0.86,0.04,56.21,22.65,11.07
