Month,hurs,pr,rx5day,r20mm,rx1day,tasmin,r50mm,cdd
1950-01,86.35,191.3,84.02,1.75,34.32,21.63,0.22,3.07
1950-02,84.25,139.97,68.78,1.53,28.51,21.51,0.12,4.8
1950-03,85.2,225.16,105.54,2.61,42.09,22.21,0.32,4.28
1950-04,82.68,143.27,48.32,1.0,18.26,22.9,0.04,4.77
1950-05,81.73,151.65,58.02,0.71,19.66,23.25,0.04,3.7
1950-06,84.96,215.6,71.54,1.65,24.66,23.23,0.07,1.23
1950-07,83.59,148.6,47.2,0.74,17.18,22.96,0.01,3.15
1950-08,82.63,164.35,73.91,1.13,24.23,22.9,0.15,5.75
1950-09,86.09,282.08,116.6,2.73,32.32,22.73,0.09,0.78
1950-10,85.67,221.35,98.66,1.74,41.35,22.49,0.37,1.68
1950-11,84.77,167.26,64.47,1.58,28.41,22.12,0.11,4.72
1950-12,83.15,153.98,87.58,1.42,34.79,21.24,0.23,6.14
1951-01,84.66,145.77,58.29,0.96,28.44,21.45,0.18,5.5
1951-02,83.03,112.81,46.54,0.67,18.88,21.48,0.04,4.87
1951-03,78.66,61.75,25.71,0.17,10.69,21.64,0.01,8.63
1951-04,80.7,111.59,39.87,0.36,13.8,22.92,0.0,4.35
1951-05,82.17,186.49,86.87,1.19,44.69,23.31,0.3,3.04
1951-06,82.63,194.92,70.82,1.7,29.55,23.3,0.1,2.28
1951-07,84.36,242.53,88.82,1.62,41.81,22.89,0.22,1.03
1951-08,84.69,219.93,93.99,2.26,29.66,23.21,0.08,4.1
1951-09,86.4,290.42,105.35,3.16,46.84,23.13,0.43,1.16
1951-10,85.63,181.96,62.89,1.04,22.16,22.88,0.02,1.69
1951-11,86.06,217.05,93.33,1.76,56.23,22.83,0.47,3.21
1951-12,85.85,235.61,97.38,2.45,51.27,22.2,0.54,3.58
1952-01,83.13,116.97,54.42,0.94,21.98,21.52,0.12,5.72
1952-02,82.3,146.32,74.13,1.79,33.84,21.76,0.3,6.34
1952-03,79.14,105.4,51.34,0.96,22.22,22.1,0.15,9.65
1952-04,78.2,98.38,38.8,0.53,14.68,22.95,0.01,6.85
1952-05,80.64,150.13,52.23,0.82,17.28,23.66,0.01,3.51
1952-06,83.14,225.56,90.45,2.24,29.46,23.53,0.06,2.13
1952-07,83.5,269.21,106.91,3.09,44.95,23.31,0.48,2.86
1952-08,85.77,292.98,102.26,3.51,45.54,22.93,0.35,1.7
1952-09,85.75,225.61,101.07,1.92,28.94,22.65,0.05,1.83
1952-10,86.39,332.2,134.62,3.2,81.67,22.95,0.91,1.5
1952-11,85.99,175.41,78.51,1.34,35.55,22.58,0.28,2.58
1952-12,86.74,308.98,132.47,3.6,64.35,22.2,0.92,2.14
1953-01,83.45,126.68,49.64,1.07,27.19,21.39,0.12,5.37
1953-02,83.52,128.83,51.97,0.96,20.26,21.86,0.02,4.45
1953-03,79.17,76.34,39.52,0.37,16.99,22.25,0.06,8.99
1953-04,78.97,88.81,36.98,0.33,14.62,23.23,0.03,6.17
1953-05,80.78,153.25,52.03,0.68,17.86,23.55,0.02,2.97
1953-06,83.27,212.5,95.88,1.76,48.6,23.48,0.42,2.83
1953-07,83.95,204.76,66.86,1.36,22.45,22.96,0.01,1.88
1953-08,85.62,245.33,84.72,2.3,29.95,23.25,0.12,1.4
1953-09,85.78,261.23,91.84,2.46,32.86,22.84,0.18,1.32
1953-10,84.94,163.42,66.76,1.03,26.85,22.94,0.12,2.36
1953-11,85.47,193.8,92.65,1.67,48.85,22.98,0.46,2.79
1953-12,85.47,230.78,127.14,2.58,54.92,22.25,0.64,4.56
1954-01,83.42,98.04,45.93,0.41,14.5,21.83,0.0,5.68
1954-02,83.2,124.34,53.56,0.91,22.34,21.86,0.13,4.83
1954-03,83.4,211.35,96.52,2.5,41.49,22.34,0.32,5.1
1954-04,80.54,103.77,39.65,0.47,15.44,23.02,0.01,4.7
1954-05,80.84,160.91,57.82,1.08,24.47,23.57,0.08,3.33
1954-06,82.56,219.23,63.72,1.59,22.64,23.36,0.04,1.7
1954-07,84.39,276.36,77.87,2.46,27.74,22.85,0.09,0.72
1954-08,85.94,344.21,116.19,4.22,44.54,23.09,0.41,1.57
1954-09,86.43,320.55,110.95,4.09,37.5,22.9,0.27,1.08
1954-10,86.51,250.43,78.42,1.6,25.47,22.5,0.03,0.59
1954-11,85.06,244.19,111.04,2.59,50.9,22.27,0.44,4.21
1954-12,85.08,272.32,132.68,3.19,59.8,21.79,0.78,4.5
1955-01,85.89,295.81,141.03,3.33,67.17,21.48,0.95,3.31
1955-02,82.33,82.75,44.86,0.46,15.04,21.37,0.01,7.82
1955-03,81.28,100.69,38.84,0.45,15.5,21.74,0.05,6.74
1955-04,79.96,114.9,41.18,0.52,14.67,22.86,0.0,5.14
1955-05,82.11,211.99,70.35,1.82,25.47,23.56,0.07,3.03
1955-06,84.41,245.2,76.35,2.09,30.03,23.07,0.07,0.88
1955-07,84.53,247.61,81.82,2.32,28.48,22.74,0.07,2.46
1955-08,85.47,281.91,85.33,2.98,30.16,22.76,0.09,1.91
1955-09,85.64,253.73,95.7,2.0,37.92,22.82,0.28,1.07
1955-10,86.91,297.76,95.13,2.99,34.12,22.66,0.15,1.2
1955-11,86.92,364.16,158.67,4.83,66.7,22.59,1.06,1.96
1955-12,83.49,152.75,91.86,1.38,26.32,20.96,0.13,6.58
1956-01,84.76,223.03,102.78,2.76,41.39,21.15,0.53,4.29
1956-02,83.66,146.47,65.38,1.24,24.17,21.39,0.05,5.93
1956-03,81.24,114.55,49.29,0.57,18.1,21.88,0.04,6.73
1956-04,84.4,255.99,118.03,3.03,56.87,22.79,0.5,3.52
1956-05,84.2,219.77,74.94,1.7,23.18,22.94,0.02,1.8
1956-06,84.31,229.94,88.6,2.68,35.16,22.85,0.13,2.34
1956-07,85.61,313.44,97.88,3.48,36.58,22.66,0.15,0.72
1956-08,86.92,411.15,146.73,6.08,52.52,22.73,0.69,1.14
1956-09,87.15,360.9,127.99,4.63,46.14,22.71,0.66,1.08
1956-10,86.72,256.28,88.67,2.25,35.79,22.48,0.18,1.12
1956-11,86.83,283.9,114.49,3.19,51.72,22.47,0.73,1.91
1956-12,87.97,410.62,179.55,5.69,73.72,22.12,1.28,2.06
1957-01,85.67,202.93,107.73,1.73,52.76,21.54,0.5,3.77
1957-02,82.27,85.74,39.95,0.63,18.92,21.06,0.04,6.68
1957-03,82.95,132.41,73.62,1.02,26.78,22.26,0.14,4.79
1957-04,82.18,166.72,92.15,1.61,42.69,22.8,0.41,5.96
1957-05,77.68,88.15,36.94,0.26,11.43,23.34,0.0,9.27
1957-06,84.6,290.44,109.28,3.35,34.07,23.49,0.19,1.59
1957-07,85.85,292.45,104.02,3.01,42.72,23.0,0.37,1.48
1957-08,85.62,293.27,104.03,3.34,37.38,23.23,0.3,1.67
1957-09,85.19,307.65,118.8,3.47,51.18,22.97,0.49,1.6
1957-10,84.26,192.68,86.64,1.75,37.61,22.64,0.24,3.29
1957-11,82.28,151.95,93.36,1.04,52.21,21.99,0.53,6.09
1957-12,83.2,77.87,24.91,0.18,10.69,22.25,0.03,7.73
1958-01,82.48,115.27,42.55,0.71,17.85,21.74,0.05,4.81
1958-02,80.93,87.78,44.93,0.52,18.1,21.56,0.03,6.74
1958-03,76.53,53.79,30.53,0.22,10.87,22.05,0.02,12.91
1958-04,74.57,76.47,39.99,0.45,14.77,23.1,0.0,11.64
1958-05,80.32,179.79,82.52,1.57,25.64,23.96,0.08,4.34
1958-06,85.13,268.93,96.65,3.13,33.22,23.75,0.3,2.14
1958-07,84.84,243.53,92.93,2.44,33.76,23.4,0.24,2.73
1958-08,85.38,277.54,96.68,2.64,31.56,23.19,0.12,1.82
1958-09,86.32,288.75,113.95,3.75,40.78,23.24,0.39,1.69
1958-10,85.67,264.63,117.42,2.63,53.7,23.07,0.67,2.45
1958-11,85.32,241.78,107.56,2.78,42.97,22.36,0.35,3.04
1958-12,83.33,96.4,41.42,0.62,17.53,21.51,0.07,7.05
1959-01,81.47,87.34,28.35,0.49,14.38,21.21,0.02,6.72
1959-02,78.84,49.06,40.34,0.15,8.56,21.66,0.02,9.55
1959-03,80.21,129.25,59.71,1.35,29.93,22.35,0.15,7.21
1959-04,76.38,60.72,30.22,0.2,9.19,22.83,0.0,10.33
1959-05,80.63,184.29,62.09,1.24,24.09,23.54,0.09,3.71
1959-06,80.73,161.69,62.02,0.93,19.38,23.77,0.03,3.01
1959-07,83.21,261.82,91.91,2.61,37.33,23.16,0.25,1.97
1959-08,84.33,276.17,93.74,3.31,33.24,23.14,0.22,2.58
1959-09,83.78,194.71,78.09,1.8,30.92,23.0,0.11,2.67
1959-10,82.86,158.84,69.57,1.31,25.89,22.83,0.05,4.53
1959-11,84.07,232.5,125.08,2.07,57.39,22.77,0.86,4.43
1959-12,83.1,152.78,76.34,1.52,40.61,22.25,0.37,5.64
1960-01,81.92,115.25,56.14,0.91,28.32,21.89,0.22,8.61
1960-02,82.52,155.14,63.66,1.43,26.53,22.06,0.13,4.72
1960-03,78.76,77.0,39.58,0.32,13.27,22.12,0.0,9.38
1960-04,80.19,169.16,90.92,1.72,39.41,23.24,0.32,7.13
1960-05,80.96,183.46,80.77,1.71,30.39,23.61,0.11,4.13
1960-06,83.91,270.88,111.4,3.15,45.0,23.49,0.4,2.19
1960-07,83.17,211.84,71.02,1.45,25.6,23.48,0.09,1.78
1960-08,83.05,252.38,109.46,3.65,42.95,23.72,0.56,6.67
1960-09,84.68,259.19,89.51,2.61,34.04,23.13,0.14,1.37
1960-10,83.64,275.73,140.91,2.81,66.03,23.01,0.9,3.01
1960-11,83.49,134.58,43.71,0.55,16.5,22.7,0.01,4.23
1960-12,81.86,102.01,46.68,0.74,19.95,21.85,0.07,8.68
1961-01,80.07,122.2,49.75,1.14,20.77,20.81,0.14,9.33
1961-02,80.92,98.06,50.96,0.85,19.66,21.82,0.09,9.29
1961-03,79.71,73.71,40.45,0.25,13.7,22.38,0.01,8.1
1961-04,78.08,90.64,36.61,0.39,14.95,23.34,0.01,7.62
1961-05,81.81,218.86,84.53,2.2,31.95,23.83,0.14,3.77
1961-06,82.25,253.66,105.87,2.78,39.54,23.52,0.39,2.85
1961-07,83.67,212.56,85.33,2.25,38.81,23.08,0.33,3.31
1961-08,84.16,297.88,108.79,3.43,47.64,23.31,0.52,3.84
1961-09,83.79,193.5,73.78,1.57,32.89,23.06,0.14,2.38
1961-10,83.58,212.17,76.94,1.85,30.09,22.54,0.13,2.96
1961-11,82.16,133.79,86.22,1.24,46.82,22.33,0.46,6.65
1961-12,82.62,139.4,60.08,1.22,26.13,22.33,0.21,6.45
1962-01,82.68,165.18,64.21,1.66,23.25,21.43,0.25,7.79
1962-02,81.56,128.7,55.52,1.24,25.63,21.09,0.18,8.11
1962-03,81.21,129.47,51.5,1.06,21.71,22.36,0.08,7.01
1962-04,79.4,91.82,34.56,0.45,15.87,23.01,0.03,5.87
1962-05,80.58,175.69,71.44,1.52,35.24,23.72,0.18,5.7
1962-06,82.82,182.53,56.04,0.93,20.15,23.23,0.03,1.82
1962-07,84.67,309.8,125.46,3.68,48.41,23.45,0.62,2.06
1962-08,84.3,266.33,101.33,2.72,52.72,23.11,0.45,2.02
