Month,pr,tasmin,rx5day,r20mm,hurs,tas,rx1day,cdd
1950-01,35.58,16.1,18.6,0.17,77.73,20.07,10.46,13.6
1950-02,36.29,16.07,16.97,0.12,73.76,19.97,7.97,12.74
1950-03,69.41,19.24,35.62,0.31,77.2,22.89,16.5,12.64
1950-04,72.03,21.15,34.89,0.16,76.7,24.7,12.92,8.72
1950-05,195.04,22.79,68.39,2.1,80.77,25.89,24.45,4.79
1950-06,225.16,23.11,79.29,2.43,82.57,25.74,35.41,3.88
1950-07,193.37,23.06,65.09,1.42,81.57,25.8,23.0,3.33
1950-08,222.51,22.82,89.5,2.73,81.69,25.42,34.33,5.46
1950-09,241.54,22.12,84.7,2.08,87.05,24.57,31.7,1.6
1950-10,263.41,20.74,97.02,2.7,87.71,23.24,41.21,2.11
1950-11,106.03,18.66,53.08,0.75,84.62,21.53,21.51,7.84
1950-12,49.52,15.13,22.49,0.25,80.94,18.3,10.81,12.65
1951-01,47.9,15.31,23.17,0.1,80.39,18.53,9.24,13.24
1951-02,30.82,16.54,15.96,0.01,76.5,20.59,6.51,14.61
1951-03,71.24,18.18,35.8,0.55,76.77,22.04,16.8,11.25
1951-04,93.01,21.34,42.06,0.56,75.53,25.13,18.29,10.83
1951-05,167.02,22.47,55.18,1.14,82.24,25.49,22.6,3.49
1951-06,203.76,23.08,84.66,2.58,79.83,25.69,41.14,5.41
1951-07,151.0,22.8,65.83,1.28,79.34,25.69,25.83,7.43
1951-08,290.76,23.11,120.3,3.13,84.29,25.52,53.82,3.64
1951-09,227.21,22.07,102.46,1.95,86.4,24.8,39.54,2.91
1951-10,227.31,20.97,92.11,2.01,87.12,23.6,35.87,2.89
1951-11,175.93,19.4,73.9,1.47,87.05,21.88,35.91,4.8
1951-12,87.04,16.71,51.32,0.9,83.27,19.67,17.67,11.32
1952-01,41.16,16.29,16.21,0.1,79.9,19.77,6.67,13.91
1952-02,48.19,17.59,22.88,0.17,78.06,21.3,11.94,14.86
1952-03,137.34,20.02,56.7,1.33,79.77,23.73,30.99,7.18
1952-04,77.19,21.49,37.31,0.33,76.64,25.25,16.04,8.15
1952-05,197.96,23.11,81.68,2.29,80.63,26.29,28.13,5.84
1952-06,204.37,23.5,67.64,2.13,82.12,26.21,26.06,2.68
1952-07,170.27,23.51,66.7,1.69,79.37,26.17,26.44,6.48
1952-08,307.64,22.65,102.12,3.23,86.88,24.95,46.14,1.67
1952-09,277.77,22.07,86.34,2.59,87.81,24.48,33.44,1.23
1952-10,299.54,20.98,118.87,3.19,87.36,23.33,65.52,2.58
1952-11,67.28,18.95,64.63,0.35,83.65,21.89,12.74,9.14
1952-12,109.36,15.21,52.17,1.11,80.98,18.37,24.94,14.24
1953-01,177.76,16.22,82.7,2.52,84.56,19.13,41.87,7.55
1953-02,127.18,17.2,61.69,1.14,84.3,20.23,25.8,5.33
1953-03,116.51,19.48,47.24,0.65,82.86,22.85,21.16,6.47
1953-04,166.4,20.76,60.37,1.16,85.46,23.7,22.49,3.08
1953-05,162.22,22.72,53.58,1.03,82.51,25.82,24.05,3.38
1953-06,187.98,23.25,78.22,1.86,82.24,26.1,31.89,4.13
1953-07,110.71,23.23,51.55,0.4,78.25,26.34,18.23,7.64
1953-08,205.3,23.12,96.08,1.95,81.96,25.88,37.9,3.65
1953-09,255.74,22.02,116.74,2.74,85.77,24.68,47.18,2.46
1953-10,123.36,21.61,49.89,0.15,86.52,24.36,14.31,2.81
1953-11,187.78,19.4,72.73,1.96,86.36,21.82,32.34,3.11
1953-12,128.26,16.71,53.67,1.43,84.21,19.52,25.68,7.48
1954-01,48.66,17.44,20.38,0.07,82.14,20.75,8.17,10.17
1954-02,35.53,16.56,17.31,0.05,76.86,20.55,7.17,14.23
1954-03,81.39,17.5,34.44,0.48,78.13,20.95,19.14,12.74
1954-04,91.26,21.54,39.88,0.49,77.54,25.12,18.4,7.26
1954-05,184.05,22.78,61.87,1.77,82.56,25.81,25.76,3.17
1954-06,138.68,23.58,55.68,0.82,79.47,26.48,20.98,5.6
1954-07,140.89,23.42,50.44,0.61,78.14,26.42,18.37,4.97
1954-08,267.18,23.09,100.6,2.77,83.56,25.6,47.53,2.53
1954-09,319.36,22.22,135.24,3.87,87.17,24.54,54.89,2.55
1954-10,181.97,20.27,89.3,1.58,85.67,23.0,36.35,5.98
1954-11,42.91,17.77,34.83,0.17,78.84,21.46,10.28,12.79
1954-12,100.74,15.52,46.87,1.17,79.51,18.55,20.71,14.44
1955-01,46.9,13.74,23.73,0.38,74.85,17.42,9.01,17.29
1955-02,24.72,16.33,14.74,0.08,72.85,20.72,7.34,17.93
1955-03,59.35,18.95,27.89,0.53,73.94,22.87,14.16,17.18
1955-04,91.36,20.75,38.48,0.33,77.09,24.2,15.77,11.09
1955-05,206.27,22.95,68.93,1.48,82.78,25.88,33.24,2.69
1955-06,253.95,22.87,96.43,2.66,84.5,25.5,43.21,3.13
1955-07,208.86,23.02,64.9,1.55,84.31,25.65,21.94,3.29
1955-08,286.86,22.43,106.11,3.29,85.96,25.05,38.93,1.73
1955-09,259.72,21.91,109.75,2.27,86.66,24.68,52.27,2.23
1955-10,208.1,19.9,91.11,2.7,83.65,22.79,37.34,6.38
1955-11,223.18,17.22,93.18,2.91,81.53,20.1,39.79,9.16
1955-12,27.57,14.8,12.82,0.03,76.65,18.93,6.28,20.94
1956-01,38.58,13.52,22.66,0.15,74.57,17.61,9.82,14.82
1956-02,56.15,16.8,26.41,0.26,79.0,20.49,14.16,12.55
1956-03,48.37,19.09,24.34,0.15,74.91,23.13,9.87,12.73
1956-04,143.36,21.62,66.39,1.45,80.54,24.97,26.57,8.2
1956-05,256.6,22.26,81.52,2.31,86.52,25.0,27.88,1.76
1956-06,228.12,22.72,101.64,3.01,83.23,25.63,43.63,3.66
1956-07,246.19,22.54,89.77,2.11,84.52,25.32,45.25,2.91
1956-08,321.18,22.47,105.51,3.25,86.57,24.95,49.26,2.02
1956-09,282.38,21.95,102.81,3.26,85.75,24.67,42.62,4.44
1956-10,162.72,19.91,77.8,1.16,82.56,22.95,26.76,7.46
1956-11,130.44,16.82,73.92,1.32,77.52,20.09,34.23,11.03
1956-12,124.6,14.93,63.81,1.63,78.73,18.31,24.37,16.52
1957-01,38.2,15.24,17.39,0.21,77.76,19.17,9.04,13.42
1957-02,47.3,14.66,26.25,0.19,75.83,18.48,12.14,13.97
1957-03,75.02,18.35,34.34,0.28,79.72,21.94,16.12,12.65
1957-04,88.49,21.22,39.82,0.68,76.93,24.92,20.36,8.95
1957-05,185.51,22.92,76.34,2.09,77.3,26.35,38.84,6.92
1957-06,275.63,23.52,94.91,3.33,84.87,25.98,37.92,2.49
1957-07,280.64,23.33,98.76,3.15,85.14,25.99,44.26,2.87
1957-08,286.27,23.18,123.95,3.6,84.39,26.0,48.05,3.1
1957-09,275.33,22.49,88.68,2.56,85.1,25.08,35.03,2.04
1957-10,247.0,20.48,122.42,3.17,84.24,23.08,54.82,4.5
1957-11,80.15,18.86,44.3,0.44,82.64,22.08,18.46,7.1
1957-12,55.86,16.94,35.92,0.33,81.02,20.42,12.28,12.95
1958-01,66.49,14.9,39.6,0.6,79.13,18.67,18.47,11.17
1958-02,46.04,15.52,27.8,0.12,77.59,19.22,11.93,11.12
1958-03,42.41,19.43,22.28,0.21,71.87,23.75,13.4,16.37
1958-04,50.48,21.66,26.96,0.32,71.2,25.76,15.06,11.34
1958-05,164.13,23.39,78.66,1.67,77.52,26.77,27.88,6.03
1958-06,284.75,23.75,129.49,3.87,84.52,26.34,48.84,3.25
1958-07,243.92,23.53,92.08,2.92,84.77,25.94,32.54,2.87
1958-08,280.85,22.7,116.73,2.98,85.41,25.59,55.4,3.47
1958-09,312.28,22.34,151.98,4.2,84.85,24.9,68.82,5.07
1958-10,206.02,20.38,80.24,2.13,82.42,23.05,33.59,6.16
1958-11,65.02,17.2,38.32,0.65,76.39,20.73,17.64,14.79
1958-12,17.19,14.66,8.84,0.03,70.25,19.27,3.74,26.03
1959-01,45.13,14.48,17.49,0.24,77.84,18.15,8.51,13.64
1959-02,39.63,16.83,20.13,0.18,76.28,20.91,8.19,13.09
1959-03,69.7,18.12,30.71,0.33,79.55,21.65,13.11,11.09
1959-04,109.13,21.42,59.98,1.07,78.48,24.98,25.83,8.79
