Month,cdd_true,cdd_pred,label_true,label_pred,label_true_txt,label_pred_txt,model,error_bucket
01/12/2012,18.26000023,21.231936,2,2,Drought,Drought,LSTM,Correct
01/01/2013,18.94000053,20.786478,2,2,Drought,Drought,LSTM,Correct
01/02/2013,17.70999908,19.03836,2,2,Drought,Drought,LSTM,Correct
01/03/2013,19.46999931,16.582073,2,2,Drought,Drought,LSTM,Correct
01/04/2013,14.81000042,13.841643,1,1,Slight drought,Slight drought,LSTM,Correct
01/05/2013,11.42000008,12.002394,1,1,Slight drought,Slight drought,LSTM,Correct
01/06/2013,10.11999989,10.071929,0,0,Non-drought,Non-drought,LSTM,Correct
01/07/2013,7.75,8.821299,0,0,Non-drought,Non-drought,LSTM,Correct
01/08/2013,10.07999992,8.467872,0,0,Non-drought,Non-drought,LSTM,Correct
01/09/2013,10.27999973,10.589913,0,0,Non-drought,Non-drought,LSTM,Correct
01/10/2013,16.20000076,15.320558,2,1,Drought,Slight drought,LSTM,Under by 1
01/11/2013,18.73999977,19.705486,2,2,Drought,Drought,LSTM,Correct
01/12/2013,24.05999947,21.33434,2,2,Drought,Drought,LSTM,Correct
01/01/2014,21.31999969,20.67284,2,2,Drought,Drought,LSTM,Correct
01/02/2014,20.84000015,19.125523,2,2,Drought,Drought,LSTM,Correct
01/03/2014,18.48999977,16.958967,2,2,Drought,Drought,LSTM,Correct
01/04/2014,15.51000023,14.254204,1,1,Slight drought,Slight drought,LSTM,Correct
01/05/2014,12.47000027,12.151561,1,1,Slight drought,Slight drought,LSTM,Correct
01/06/2014,10.59000015,10.444793,0,0,Non-drought,Non-drought,LSTM,Correct
01/07/2014,8.010000229,9.238791,0,0,Non-drought,Non-drought,LSTM,Correct
01/08/2014,8.470000267,9.325626,0,0,Non-drought,Non-drought,LSTM,Correct
01/09/2014,9.670000076,11.243767,0,1,Non-drought,Slight drought,LSTM,Over by 1
01/10/2014,16.09000015,14.582007,2,1,Drought,Slight drought,LSTM,Under by 1
01/11/2014,18.12000084,18.836096,2,2,Drought,Drought,LSTM,Correct
01/12/2014,23.02000046,20.955273,2,2,Drought,Drought,LSTM,Correct
01/01/2015,18.79999924,21.055048,2,2,Drought,Drought,LSTM,Correct
01/02/2015,20.52000046,19.017424,2,2,Drought,Drought,LSTM,Correct
01/03/2015,18.29999924,16.67237,2,2,Drought,Drought,LSTM,Correct
01/04/2015,13.34000015,14.198708,1,1,Slight drought,Slight drought,LSTM,Correct
01/05/2015,12.02999973,12.148996,1,1,Slight drought,Slight drought,LSTM,Correct
01/06/2015,9.039999962,10.320188,0,0,Non-drought,Non-drought,LSTM,Correct
01/07/2015,10.56999969,8.930446,0,0,Non-drought,Non-drought,LSTM,Correct
01/08/2015,10.02000046,9.66595,0,0,Non-drought,Non-drought,LSTM,Correct
01/09/2015,10.14999962,11.308469,0,1,Non-drought,Slight drought,LSTM,Over by 1
01/10/2015,16.05999947,15.125851,2,1,Drought,Slight drought,LSTM,Under by 1
01/11/2015,15.23999977,18.591736,1,2,Slight drought,Drought,LSTM,Over by 1
01/12/2015,19.39999962,20.04727,2,2,Drought,Drought,LSTM,Correct
01/01/2016,17.59000015,20.113138,2,2,Drought,Drought,LSTM,Correct
01/02/2016,19.82999992,18.746574,2,2,Drought,Drought,LSTM,Correct
01/03/2016,19.95000076,16.830452,2,2,Drought,Drought,LSTM,Correct
01/04/2016,13.97999954,13.998392,1,1,Slight drought,Slight drought,LSTM,Correct
01/05/2016,10.61999989,11.257425,0,1,Non-drought,Slight drought,LSTM,Over by 1
01/06/2016,9.390000343,9.614446,0,0,Non-drought,Non-drought,LSTM,Correct
01/07/2016,8.779999733,8.59972,0,0,Non-drought,Non-drought,LSTM,Correct
01/08/2016,9.020000458,8.33854,0,0,Non-drought,Non-drought,LSTM,Correct
01/09/2016,11.18999958,10.991498,1,0,Slight drought,Non-drought,LSTM,Under by 1
01/10/2016,13.69999981,15.155176,1,1,Slight drought,Slight drought,LSTM,Correct
01/11/2016,17.39999962,18.813362,2,2,Drought,Drought,LSTM,Correct
01/12/2016,21.86000061,21.00453,2,2,Drought,Drought,LSTM,Correct
01/01/2017,20.73999977,20.659708,2,2,Drought,Drought,LSTM,Correct
01/02/2017,19.55999947,19.046978,2,2,Drought,Drought,LSTM,Correct
01/03/2017,18,16.810379,2,2,Drought,Drought,LSTM,Correct
01/04/2017,14.03999996,14.476369,1,1,Slight drought,Slight drought,LSTM,Correct
01/05/2017,12.43000031,12.472011,1,1,Slight drought,Slight drought,LSTM,Correct
01/06/2017,9.350000381,11.003579,0,1,Non-drought,Slight drought,LSTM,Over by 1
01/07/2017,9.069999695,9.062366,0,0,Non-drought,Non-drought,LSTM,Correct
01/08/2017,7.800000191,8.774764,0,0,Non-drought,Non-drought,LSTM,Correct
01/09/2017,10.42000008,10.29325,0,0,Non-drought,Non-drought,LSTM,Correct
01/10/2017,14.93000031,15.167789,1,1,Slight drought,Slight drought,LSTM,Correct
01/11/2017,21.95000076,19.217995,2,2,Drought,Drought,LSTM,Correct
01/12/2017,24.77000046,21.503794,2,2,Drought,Drought,LSTM,Correct
01/01/2018,19.76000023,21.211174,2,2,Drought,Drought,LSTM,Correct
