Month,pr,r20mm,r50mm,tasmin,tas,tasmax,hurs,rx5day
1950-01,16.36,0.04,0.0,-12.1,-6.42,-0.69,60.92,9.29
1950-02,23.37,0.1,0.0,-11.77,-5.96,-0.46,60.51,13.21
1950-03,43.86,0.25,0.01,-3.97,1.7,7.01,57.39,19.7
1950-04,65.52,0.64,0.07,1.36,7.07,12.39,55.65,31.72
1950-05,115.25,1.42,0.16,8.12,13.6,18.75,59.49,45.66
1950-06,148.72,1.7,0.29,12.04,16.83,21.45,64.25,60.77
1950-07,150.72,1.58,0.23,15.27,19.83,24.37,67.46,64.39
1950-08,143.27,1.4,0.15,13.73,18.3,22.87,66.77,54.0
1950-09,106.5,1.0,0.11,9.19,13.78,18.49,66.39,43.8
1950-10,55.19,0.33,0.02,3.5,8.21,13.21,64.25,26.33
1950-11,25.99,0.1,0.01,-5.4,-0.59,4.45,60.78,14.67
1950-12,15.63,0.03,0.0,-12.39,-7.27,-1.96,59.66,8.36
1951-01,19.13,0.03,0.0,-14.61,-9.22,-3.76,61.16,11.67
1951-02,31.89,0.1,0.0,-11.63,-5.76,-0.32,60.87,14.35
1951-03,52.37,0.45,0.01,-6.59,-0.77,4.52,58.95,21.65
1951-04,90.16,1.03,0.09,-0.01,5.64,10.77,58.55,33.13
1951-05,93.32,1.05,0.1,7.83,13.61,18.97,57.9,40.47
1951-06,139.68,1.56,0.27,12.49,17.25,21.99,65.61,61.51
1951-07,161.79,1.6,0.22,14.74,18.96,23.33,69.09,65.57
1951-08,134.53,1.31,0.2,14.76,19.24,23.86,66.9,54.89
1951-09,105.9,1.01,0.16,8.9,13.59,18.33,66.71,52.94
1951-10,70.47,0.57,0.06,3.93,8.71,13.66,67.47,37.6
1951-11,45.81,0.38,0.02,-4.89,-0.02,4.96,64.51,22.53
1951-12,22.75,0.11,0.0,-9.74,-4.53,0.95,63.14,15.05
1952-01,23.5,0.12,0.0,-13.12,-7.43,-1.89,63.73,12.04
1952-02,39.81,0.25,0.01,-11.87,-6.32,-1.14,63.49,18.95
1952-03,62.45,0.5,0.04,-5.57,0.16,5.29,62.98,23.58
1952-04,74.82,0.75,0.06,2.24,8.13,13.63,58.6,33.59
1952-05,115.98,1.28,0.13,8.73,13.91,18.94,62.0,45.24
1952-06,122.77,1.29,0.22,12.94,17.82,22.63,62.63,57.46
1952-07,158.76,1.6,0.22,15.46,19.69,24.04,70.29,69.7
1952-08,147.44,1.41,0.23,13.68,18.05,22.52,70.54,58.23
1952-09,116.49,1.19,0.2,9.67,14.31,19.09,66.75,49.87
1952-10,58.78,0.47,0.02,1.58,6.54,11.59,62.79,27.4
1952-11,29.37,0.1,0.0,-5.29,-0.44,4.5,64.02,15.6
1952-12,18.5,0.07,0.0,-14.0,-8.76,-3.45,60.41,11.02
1953-01,35.48,0.24,0.03,-14.85,-9.3,-3.98,64.51,16.54
1953-02,31.0,0.11,0.01,-11.07,-5.14,0.36,66.03,15.14
1953-03,56.12,0.39,0.02,-3.62,2.09,7.46,60.67,21.47
1953-04,66.91,0.47,0.01,1.28,6.65,11.67,59.66,25.38
