Month,pr,r20mm,r50mm,tasmin,tas,tasmax,hurs,rx5day
1950-01,109.94,1.04,0.04,-3.8,-0.37,3.3,76.73,47.1
1950-02,84.95,0.75,0.07,-3.82,-0.57,3.14,73.93,52.1
1950-03,97.29,1.0,0.09,-0.35,2.86,6.72,73.6,49.43
1950-04,76.35,0.69,0.02,5.01,8.75,13.14,76.8,51.98
1950-05,122.72,1.62,0.13,10.74,14.46,18.79,77.87,53.46
1950-06,191.97,2.82,0.38,14.95,17.87,21.38,84.24,92.46
1950-07,171.86,2.0,0.25,19.82,22.47,25.82,85.45,77.49
1950-08,148.64,1.49,0.33,20.69,23.29,26.65,84.89,72.4
1950-09,169.91,2.14,0.31,16.9,19.53,22.91,82.64,71.47
1950-10,110.04,1.26,0.05,9.41,12.33,15.8,78.51,45.03
1950-11,119.8,1.27,0.05,4.11,7.15,10.64,79.26,52.4
1950-12,112.43,0.9,0.04,-2.91,0.4,4.1,76.36,42.33
1951-01,64.1,0.19,0.0,-5.51,-2.35,1.38,74.56,25.42
1951-02,109.91,0.93,0.06,-3.79,-0.49,3.29,75.67,50.51
1951-03,111.17,1.09,0.02,-0.99,2.47,6.44,73.4,50.16
1951-04,143.03,2.04,0.08,4.72,8.04,11.98,77.32,55.69
1951-05,109.31,1.21,0.21,10.03,13.98,18.46,77.06,43.82
1951-06,148.9,1.99,0.29,13.84,17.23,21.11,80.21,79.32
1951-07,213.98,3.36,0.89,18.06,20.92,24.38,84.81,112.43
1951-08,112.72,1.03,0.15,21.05,23.86,27.43,82.58,55.47
1951-09,140.52,1.93,0.12,14.65,17.51,20.96,79.66,59.58
1951-10,128.86,1.77,0.5,10.4,13.54,17.37,78.91,74.36
1951-11,136.89,1.8,0.1,3.52,6.48,9.96,78.01,49.42
1951-12,93.79,0.97,0.01,-0.47,2.72,6.44,79.07,44.18
1952-01,109.13,0.78,0.01,-4.9,-1.66,1.86,76.71,42.71
1952-02,81.1,0.43,0.0,-5.86,-2.9,0.53,73.7,30.14
1952-03,112.12,1.29,0.01,-1.2,2.09,5.86,74.92,44.96
1952-04,149.08,2.15,0.26,4.92,8.33,12.37,76.76,56.27
