Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1950-01,35.58,0.17,0.02,77.73,16.1,20.07,0.0,18.6
1950-02,36.29,0.12,0.0,73.76,16.07,19.97,0.08,16.97
1950-03,69.41,0.31,0.01,77.2,19.24,22.89,0.26,35.62
1950-04,72.03,0.16,0.0,76.7,21.15,24.7,1.48,34.89
1950-05,195.04,2.1,0.07,80.77,22.79,25.89,0.69,68.39
1950-06,225.16,2.43,0.32,82.57,23.11,25.74,0.4,79.29
1950-07,193.37,1.42,0.04,81.57,23.06,25.8,0.92,65.09
1950-08,222.51,2.73,0.4,81.69,22.82,25.42,0.42,89.5
1950-09,241.54,2.08,0.12,87.05,22.12,24.57,0.02,84.7
1950-10,263.41,2.7,0.56,87.71,20.74,23.24,0.0,97.02
1950-11,106.03,0.75,0.1,84.62,18.66,21.53,0.0,53.08
1950-12,49.52,0.25,0.05,80.94,15.13,18.3,0.0,22.49
1951-01,47.9,0.1,0.0,80.39,15.31,18.53,0.0,23.17
1951-02,30.82,0.01,0.0,76.5,16.54,20.59,0.01,15.96
1951-03,71.24,0.55,0.04,76.77,18.18,22.04,0.63,35.8
1951-04,93.01,0.56,0.07,75.53,21.34,25.13,3.23,42.06
1951-05,167.02,1.14,0.01,82.24,22.47,25.49,0.35,55.18
1951-06,203.76,2.58,0.44,79.83,23.08,25.69,0.36,84.66
1951-07,151.0,1.28,0.06,79.34,22.8,25.69,0.5,65.83
1951-08,290.76,3.13,0.7,84.29,23.11,25.52,0.27,120.3
1951-09,227.21,1.95,0.33,86.4,22.07,24.8,0.03,102.46
1951-10,227.31,2.01,0.3,87.12,20.97,23.6,0.0,92.11
1951-11,175.93,1.47,0.33,87.05,19.4,21.88,0.0,73.9
1951-12,87.04,0.9,0.16,83.27,16.71,19.67,0.0,51.32
1952-01,41.16,0.1,0.0,79.9,16.29,19.77,0.0,16.21
1952-02,48.19,0.17,0.0,78.06,17.59,21.3,0.09,22.88
1952-03,137.34,1.33,0.29,79.77,20.02,23.73,0.85,56.7
1952-04,77.19,0.33,0.0,76.64,21.49,25.25,2.05,37.31
1952-05,197.96,2.29,0.23,80.63,23.11,26.29,1.36,81.68
1952-06,204.37,2.13,0.13,82.12,23.5,26.21,1.01,67.64
1952-07,170.27,1.69,0.14,79.37,23.51,26.17,1.82,66.7
1952-08,307.64,3.23,0.46,86.88,22.65,24.95,0.03,102.12
1952-09,277.77,2.59,0.21,87.81,22.07,24.48,0.01,86.34
1952-10,299.54,3.19,1.01,87.36,20.98,23.33,0.0,118.87
1952-11,67.28,0.35,0.01,83.65,18.95,21.89,0.0,64.63
1952-12,109.36,1.11,0.17,80.98,15.21,18.37,0.0,52.17
1953-01,177.76,2.52,0.51,84.56,16.22,19.13,0.0,82.7
1953-02,127.18,1.14,0.15,84.3,17.2,20.23,0.06,61.69
1953-03,116.51,0.65,0.02,82.86,19.48,22.85,0.86,47.24
1953-04,166.4,1.16,0.0,85.46,20.76,23.7,0.46,60.37
